日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,20-19-17,42-44-46,15-11-15,44-41-46,20-16-16,42-41-43,18-12-13,43-43-44,17-13-11,43-44-41,17-12-12,43-46-42
2,18-18-16,43-43-45,20-12-16,42-50-43,18-13-13,43-42-44,13-11-14,43-42-41,17-14-12,43-43-42,20-19-19,49-43-49
3,13-17-15,43-42-44,18-19-13,43-49-44,13-14-14,43-49-41,17-20-11,43-41-42,19-11-19,49-42-49,18-20-20,44-44-50
4,17-16-14,44-42-43,13-20-14,43-48-41,17-11-11,43-50-42,17-19-12,49-50-49,18-12-20,44-41-50,16-17-17,42-41-47
5,17-15-13,42-49-42,11-11-14,44-47-43,17-12-12,49-47-49,19-18-19,44-49-50,16-19-17,42-50-47,17-18-18,47-42-48
6,16-14-11,50-50-41,18-18-13,42-46-42,16-19-12,50-48-41,18-17-20,42-48-47,17-20-18,47-49-48,27-25-25,51-59-55
7,20-13-12,41-47-50,16-15-12,50-45-41,20-20-11,41-45-50,15-15-20,47-47-48,27-27-25,51-58-55,27-26-26,51-60-56
8,15-12-19,41-48-49,20-16-11,41-44-50,15-17-20,41-46-49,15-15-19,55-55-58,28-28-27,51-57-56,26-23-26,60-57-56
9,15-11-20,55-55-58,15-13-20,41-43-49,15-18-19,55-53-58,25-24-28,52-56-57,26-25-26,60-56-56,24-24-25,54-58-55
10,25-30-27,52-56-57,15-14-19,55-52-58,25-25-28,52-54-57,28-23-27,60-53-56,24-26-25,54-55-55,25-21-24,59-55-54
11,28-29-28,60-53-56,25-21-28,52-51-57,28-26-27,60-51-56,26-22-26,54-54-55,25-23-24,59-54-54,25-22-23,59-56-53
12,26-28-25,56-52-55,28-22-27,60-60-56,26-23-26,54-52-55,24-21-25,59-51-54,25-24-23,59-53-53,29-29-22,59-53-52
13,24-27-26,59-59-54,26-29-26,56-59-55,24-24-25,59-59-54,25-30-24,59-52-53,29-21-22,59-52-52,26-30-21,52-54-51
14,25-26-23,57-60-59,30-30-25,59-58-54,25-23-24,59-60-53,25-29-23,59-59-52,26-22-21,52-51-51,24-27-30,60-51-60
15,25-25-24,53-57-58,25-27-24,57-55-59,25-24-23,53-57-52,29-28-22,52-60-51,24-29-30,59-60-60,28-28-29,58-52-59
16,27-22-21,51-58-57,23-28-29,53-54-58,27-21-28,52-58-57,26-27-21,60-51-60,30-30-29,58-59-59,33-31-38,09-09-08
17,25-21-21,57-55-57,27-26-28,51-53-57,25-22-27,56-58-56,24-26-30,54-52-59,33-37-38,09-08-08,33-32-37,09-10-07
18,22-30-30,54-56-58,25-25-27,58-57-57,22-29-26,54-57-55,30-23-25,09-09-04,31-38-33,09-07-07,37-39-32,01-07-02
19,30-27-29,10-01-05,27-24-27,54-58-58,30-30-28,10-06-05,36-32-34,07-10-03,37-36-32,01-02-02,35-40-31,09-07-01
20,36-36-38,05-02-06,30-23-28,10-05-05,36-37-35,05-05-06,31-31-33,01-07-02,35-35-31,09-01-01,40-37-40,06-06-10
21,35-35-37,09-09-03,36-32-35,05-06-06,35-34-36,09-04-03,37-34-33,09-08-04,31-34-31,06-10-10,38-38-32,04-05-02
22,35-34-36,09-10-04,35-31-36,09-03-03,35-31-33,09-03-04,35-33-34,01-05-01,38-33-32,04-02-02,34-35-39,10-04-09
23,35-33-35,01-07-01,35-40-33,09-04-04,35-32-34,01-02-01,31-32-31,10-04-02,34-32-39,10-09-09,39-34-40,09-03-10
24,31-32-34,10-08-02,35-39-34,02-01-01,31-39-31,10-01-02,36-31-32,10-01-09,39-31-40,09-10-10,33-31-37,09-02-07
25,36-31-33,08-05-09,31-38-31,10-02-02,36-40-32,10-10-09,34-40-39,09-02-10,33-40-37,09-07-07,33-32-38,09-01-08
26,34-40-32,09-06-10,36-37-32,08-09-09,34-37-39,09-09-10,39-39-40,09-09-07,33-39-38,09-08-08,45-49-45,15-20-15
27,39-39-31,09-03-07,34-36-39,09-10-10,39-38-40,09-06-07,33-38-37,09-10-08,45-48-45,16-15-15,44-50-46,20-19-16
28,33-38-40,09-04-08,39-35-40,09-07-07,33-35-37,09-05-08,33-37-38,15-17-15,44-47-46,20-16-16,44-47-43,18-13-13
29,33-37-39,,33-34-37,09-08-08,33-36-38,15-14-15,45-46-45,20-18-16,42-46-43,18-13-13,43-48-44,13-17-14
30,45-46-48,,33-33-38,16-15-15,45-43-45,20-13-16,44-45-46,18-15-13,43-45-44,13-14-14,43-45-41,17-16-11
31,44-45-47,,45-42-45,,44-44-46,,42-44-43,13-16-14,,17-11-11,,17-15-12
