日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,27-29-28,53-54-55,27-21-28,51-51-57,27-26-27,53-51-56,23-22-26,52-53-55,26-23-24,60-54-54,21-22-23,51-56-53
2,23-28-25,52-53-56,27-22-27,53-60-56,23-23-26,52-52-55,28-21-25,60-52-54,21-24-23,51-53-53,25-29-22,51-53-52
3,28-27-26,60-52-53,23-29-26,52-59-55,28-24-25,60-59-54,26-30-24,51-51-53,25-21-22,51-52-52,25-30-21,51-54-51
4,26-26-23,59-52-54,28-30-25,60-58-54,26-21-24,51-60-53,21-29-23,51-60-52,25-22-21,52-51-51,27-27-30,57-51-60
5,25-25-22,59-59-51,25-27-23,59-57-54,25-22-24,59-57-51,25-28-22,51-59-51,27-29-30,57-60-60,26-28-29,52-52-59
6,29-24-29,52-60-52,25-28-24,59-56-51,29-29-21,52-58-52,26-28-22,57-58-60,26-30-29,52-59-59,34-35-38,10-09-08
7,26-23-30,60-57-59,29-25-21,52-55-52,26-30-22,60-55-59,24-26-29,58-58-60,33-37-37,10-08-08,33-36-38,09-10-08
8,24-22-27,58-58-60,26-26-22,60-54-59,24-27-29,58-56-60,28-25-30,09-05-07,33-38-38,09-07-08,33-33-35,03-07-05
9,28-21-28,09-05-07,24-23-29,58-53-60,28-28-30,09-03-07,33-34-37,09-06-08,33-35-35,03-06-05,36-34-36,10-08-06
10,33-40-35,09-06-08,28-24-30,09-02-07,33-35-37,09-04-08,33-33-38,03-03-05,35-36-36,10-05-06,34-31-33,08-05-03
11,33-39-36,03-03-05,33-31-37,09-01-08,33-36-38,03-01-05,33-32-35,10-04-06,34-33-33,08-04-03,32-32-34,02-06-04
12,33-38-33,10-02-06,33-32-38,03-10-05,33-33-35,10-02-06,36-31-36,08-01-03,32-34-34,02-03-04,33-39-31,07-03-01
13,36-37-38,08-09-03,37-39-35,10-09-06,35-36-36,08-09-03,34-40-33,02-02-04,33-31-31,07-02-01,33-40-32,07-04-02
14,34-36-35,04-10-04,36-40-36,08-08-03,34-33-33,04-10-04,32-39-34,07-09-01,33-32-32,07-01-02,37-37-39,07-01-09
15,38-33-36,10-07-02,40-37-33,04-05-04,38-34-34,07-07-01,33-38-31,07-04-02,35-39-39,07-10-09,34-34-40,10-02-10
16,34-32-33,05-08-01,38-37-33,10-04-02,34-31-32,05-09-01,33-37-32,01-01-09,34-40-40,10-09-10,42-41-47,18-19-17
17,31-31-34,01-05-10,34-36-32,05-03-01,31-32-31,01-08-10,35-34-39,10-02-10,50-47-47,18-18-17,48-42-48,12-20-18
18,35-38-31,09-06-09,39-35-31,01-07-10,35-39-40,09-07-09,33-33-39,14-19-18,48-47-47,12-13-18,44-49-46,18-18-16
19,33-37-32,15-11-18,35-34-40,09-08-09,33-40-39,15-16-18,50-42-48,12-20-17,44-46-46,18-12-16,49-50-45,15-17-15
20,45-46-47,20-12-17,33-33-39,15-15-18,45-43-48,20-15-17,48-45-47,18-17-16,43-45-45,15-11-15,45-47-44,19-16-14
21,44-45-48,18-19-16,45-42-48,20-16-17,44-44-47,18-14-16,44-44-46,13-18-15,45-44-44,19-11-14,43-48-43,17-15-13
22,44-44-45,13-20-15,44-41-47,18-13-16,44-41-46,13-13-15,43-43-45,17-13-14,44-43-43,17-12-13,49-43-42,19-14-12
23,43-43-46,17-17-14,44-50-46,13-14-15,43-42-45,17-12-14,43-42-44,17-14-13,49-42-42,19-19-12,44-44-41,18-13-11
24,43-42-43,17-18-13,43-49-45,17-11-14,43-49-44,17-11-13,43-41-43,19-11-12,44-41-41,18-20-11,42-41-50,18-12-20
25,43-41-44,19-15-12,43-48-44,17-12-13,43-50-43,19-20-12,49-50-42,18-12-11,42-50-50,18-17-20,47-42-49,17-11-19
26,49-50-41,18-16-11,43-47-43,19-19-12,49-47-42,18-17-11,44-49-41,18-19-20,47-49-49,17-18-19,51-59-58,27-30-28
27,44-49-42,16-13-20,49-46-42,18-20-11,44-48-41,16-16-20,42-48-50,17-20-19,51-58-58,27-25-28,51-60-57,27-29-27
28,42-48-49,17-14-19,44-45-41,16-17-20,42-45-50,17-15-19,47-47-49,27-27-28,51-57-57,27-26-27,53-57-56,23-28-26
29,47-47-50,,42-44-50,17-18-19,47-46-49,27-24-28,51-56-58,27-28-27,53-56-56,23-23-26,52-58-55,28-27-25
30,51-56-57,,47-43-49,27-25-28,51-53-58,27-23-27,51-55-57,23-25-26,52-55-55,28-24-25,60-55-54,26-26-24
31,51-55-58,,51-52-58,,51-54-57,,53-54-56,28-26-25,,26-21-24,,21-25-23
