日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,33-31-31,15-16-20,33-33-38,09-03-07,33-38-37,15-13-16,45-44-46,20-15-15,42-45-44,18-16-14,43-44-43,13-18-13
2,45-50-50,20-15-19,33-34-37,15-12-16,45-45-46,20-14-15,44-43-45,18-14-14,43-46-43,13-15-13,43-41-42,13-15-12
3,44-49-49,18-14-18,45-41-46,20-11-15,44-46-45,18-11-14,42-42-44,14-13-13,43-43-42,17-14-12,43-42-41,13-16-11
4,42-48-48,17-14-17,44-42-45,18-20-14,42-43-44,13-12-13,43-41-43,17-12-12,43-44-41,17-13-11,49-49-50,19-13-20
5,41-47-48,11-11-16,41-49-48,17-19-17,41-44-47,17-19-12,43-50-42,17-11-11,49-41-50,19-12-20,44-50-49,14-14-19
6,41-46-45,18-12-15,41-50-47,11-18-16,41-41-46,18-20-15,43-49-41,19-20-20,44-42-49,18-11-19,42-47-48,12-11-18
7,44-45-46,16-19-14,41-47-46,18-17-15,44-42-45,16-17-14,42-48-44,20-20-13,41-49-42,16-20-18,41-48-41,11-12-11
8,42-44-43,20-20-13,44-48-45,16-16-14,42-49-44,20-18-13,50-47-43,15-17-12,41-50-41,15-19-11,55-55-60,25-29-30
9,50-43-44,15-17-12,42-45-44,20-15-13,50-50-43,15-15-12,41-46-42,15-18-11,55-57-60,25-28-30,52-56-59,28-30-29
10,41-42-41,15-18-11,50-46-43,15-14-12,41-47-42,15-16-11,41-45-41,25-25-30,52-58-59,28-27-29,60-53-58,30-27-28
11,41-41-42,25-25-30,41-43-42,15-13-11,41-48-41,25-23-30,55-54-60,28-26-29,60-55-58,26-26-28,54-54-57,24-28-27
12,55-60-59,28-24-29,41-44-41,25-22-30,55-55-60,28-24-29,52-53-59,26-23-28,54-56-57,24-25-27,59-51-56,29-25-26
13,52-59-60,26-21-28,53-51-60,28-21-29,52-58-59,26-21-28,60-52-58,24-24-27,59-53-56,25-24-26,59-52-55,29-26-25
14,60-58-57,30-22-25,52-52-59,26-30-28,60-55-58,30-22-27,54-51-57,25-21-26,59-54-55,25-23-25,59-59-54,29-23-24
15,56-55-58,26-29-24,58-59-56,30-27-25,56-56-55,25-29-26,59-60-56,25-26-25,53-51-54,29-22-24,52-56-53,26-24-23
16,52-54-56,23-30-23,56-59-55,26-26-24,52-53-54,23-30-23,59-59-55,27-23-24,52-52-53,26-21-23,60-53-52,30-21-22
17,57-53-55,27-27-30,52-58-54,23-25-23,57-54-53,27-30-22,53-56-52,26-24-21,56-59-60,24-30-22,54-54-59,30-22-29
18,53-60-54,25-28-29,51-57-51,27-29-30,53-51-60,25-29-21,51-55-51,22-21-30,54-59-59,30-25-29,10-01-08,40-40-38
19,51-59-53,27-23-28,53-56-60,25-30-29,51-52-59,27-28-28,56-54-60,30-22-29,10-08-08,36-34-38,07-02-07,37-39-37
20,57-58-52,26-24-27,51-55-59,27-27-28,57-55-58,30-27-27,54-57-57,36-39-36,05-07-05,31-33-37,01-09-04,31-38-34
21,52-57-51,36-31-36,57-54-58,26-28-27,52-56-57,35-36-36,10-06-06,35-40-35,01-06-04,37-33-34,09-10-03,39-37-33
22,10-06-10,35-32-35,52-53-57,36-35-36,10-03-06,36-35-35,06-05-05,35-35-34,09-05-03,35-34-33,01-05-02,31-36-32
23,05-05-09,35-39-34,10-02-06,35-36-35,05-04-05,35-34-34,09-04-04,35-36-33,01-04-02,31-31-32,10-06-01,40-35-31
24,09-04-08,35-40-33,05-01-05,35-33-34,09-01-04,35-33-33,09-03-03,31-33-32,10-03-01,36-32-31,10-03-10,40-34-40
25,09-03-07,31-37-32,09-10-04,35-34-33,09-02-03,31-32-32,01-02-02,36-34-31,10-02-10,34-39-40,09-04-09,39-33-39
26,01-02-06,36-38-31,09-09-03,31-31-32,01-09-02,36-39-31,10-01-01,34-31-40,09-01-09,39-40-39,09-01-08,39-32-38
27,10-01-05,34-35-40,01-08-02,36-32-31,10-10-01,34-38-40,09-10-10,39-32-39,09-10-08,33-37-38,09-02-07,33-31-37
28,08-10-04,39-36-39,10-07-01,34-39-40,08-07-10,39-37-39,10-09-09,33-39-38,09-09-07,33-38-37,15-19-16,45-50-46
29,09-09-03,,08-06-10,39-40-39,09-08-09,33-36-38,09-08-08,33-40-37,15-18-16,45-45-46,20-20-15,50-49-45
30,09-08-02,,09-05-09,33-37-38,09-05-08,33-35-37,09-07-07,45-47-46,20-17-15,44-46-45,18-17-14,48-48-44
31,09-07-01,,09-04-08,,09-06-07,,15-16-16,44-48-45,,42-43-44,,43-47-43
