日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,47-41-44,27-26-21,42-43-44,17-13-13,47--48-43,27-23-22,51-54-52,27-25-21,53-55-60,23-6-30,52-54-59,28-28-29
2,51-60-51,27-25-22,47-44-43,27-22-22,51-55-52,27-24-21,51-53-51,23-24-30,52-56-59,28-25-29,60-51-58,26-25-28
3,51-59-52,23-24-29,51-51-52,27-21-21,51-56-51,23-21-30,53-52-60,28-23-29,60-53-58,26-24-28,51-52-57,21-26-27
4,53-58-59,24-24-30,51-52-51,23-30-30,53-53-60,28-22-29,52-51-59,26-22-28,51-54-57,21-23-27,51-59-56,25-23-26
5,52-57-60,25-21-27,60-53-59,24-29-30,52-54-59,26-29-28,60-60-58,21-21-27,51-51-56,25-22-26,51-60-55,25-24-25
6,59-56-51,25-22-28,54-60-60,25-28-27,59-51-57,25-30-28,51-59-57,25-30-26,51-52-55,25-21-25,57-57-54,27-21-24
7,59-55-52,29-29-25,59-57-57,25-27-28,59-52-58,29-27-25,59-58-55,25-29-25,57-59-54,27-30-24,52-58-53,28-22-24
8,59-54-59,26-30-26,59-58-58,29-26-25,59-59-55,26-28-26,52-57-56,24-27-23,58-60-54,26-29-23,09-05-01,33-39-31
9,52-53-60,24-27-23,59-55-55,26-25-26,52-60-56,24-25-23,60-56-53,28-28-24,09-07-01,33-38-31,09-06-02,33-40-32
10,60-52-57,28-28-24,52-56-56,24-24-23,60-57-53,28-26-24,58-55-54,33-35-31,09-08-02,33-37-32,03-03-09,33-37-39
11,58-51-58,33-35-31,60-53-53,28-23-24,58-58-54,33-33-31,09-04-01,33-36-32,03-05-09,33-36-39,10-04-10,36-38-40
12,09-10-05,33-34-32,58-54-54,33-32-31,09-05-01,33-34-32,09-03-02,33-33-39,10-06-10,36-35-40,08-01-07,34-35-37
13,09-09-06,37-31-39,09-01-01,33-31-32,09-06-02,33-31-39,03-02-09,36-34-40,08-03-07,34-34-37,02-02-08,32-36-38
14,01-08-01,36-32-40,09-02-02,37-40-39,01-05-09,36-32-40,10-01-10,34-31-37,02-04-08,32-33-38,07-09-05,33-33-35
15,10-07-02,40-39-38,01-09-09,36-37-40,10-06-10,34-39-37,08-10-07,32-32-38,07-01-05,33-32-35,07-10-06,33-34-36
16,06-04-09,38-40-37,09-10-10,40-36-38,06-03-07,38-40-38,04-09-08,33-33-35,07-02-06,33-31-36,01-03-03,35-31-33
17,04-03-10,34-37-36,06-08-08,38-35-37,04-04-07,34-40-36,07-06-05,33-34-36,01-09-03,35-40-33,10-04-04,34-32-34
18,10-02-07,39-38-35,04-07-07,34-39-36,10-01-06,31-39-35,06-05-05,35-31-33,10-10-04,34-39-34,14-11-11,50-50-42
19,09-09-08,33-33-34,10-06-06,39-40-35,09-02-05,35-38-34,01-04-04,33-32-33,14-18-12,50-44-41,12-12-11,48-49-41
20,01-08-05,33-34-33,09-05-05,33-37-34,01-09-04,33-37-33,09-07-03,50-49-42,12-17-11,48-43-41,18-19-20,44-48-50
21,09-07-04,45-41-42,09-04-04,33-38-33,09-06-03,45-46-42,15-16-12,48-50-41,18-16-20,44-42-50,13-20-19,43-47-49
22,15-16-11,44-42-41,09-03-03,45-45-42,15-13-12,44-45-41,20-15-11,44-47-50,13-15-19,43-44-49,19-17-18,43-46-48
23,20-15-12,44-49-50,15-12-12,44-46-41,20-14-11,44-44-50,18-14-20,43-46-49,17-14-18,45-41-48,17-16-17,43-45-47
24,18-14-19,43-50-49,20-11-11,44-43-50,18-11-20,43-43-49,13-13-19,43-43-48,17-13-17,43-42-47,19-13-16,49-44-46
25,13-13-20,43-47-48,18-20-20,43-44-49,13-12-19,43-42-48,17-12-18,43-44-47,19-12-16,49-49-46,18-14-15,44-43-45
26,17-12-17,43-48-47,13-19-19,43-41-48,17-19-18,43-41-47,17-11-17,49-41-46,18-11-15,44-50-45,18-11-14,42-42-44
27,17-11-18,49-45-46,17-18-18,43-42-47,17-20-17,49-48-46,19-20-16,44-42-45,18-20-14,42-47-44,17-12-13,47-41-43
28,19-20-15,44-46-45,18-17-17,49-49-46,19-17-16,44-47-45,18-19-15,42-49-44,17-19-13,47-48-43,27-29-22,51-60-52
29,18-19-16,,19-16-16,44-50-45,18-18-15,42-46-44,16-18-14,47-50-43,27-28-22,51-55-52,27-30-21,51-59-51
30,16-18-13,,18-15-18,42-47-44,16-15-14,47-45-43,17-17-13,51-57-52,27-27-21,51-56-51,23-27-30,53-58-60
31,17-17-14,,20-14-14,,17-16-13,,27-26-22,51-58-51,,53-53-60,,52-57-59
