日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,60-56-58,21-21-27,60-57-51,21-27-22,51-52-52,25-27-29,51-58-59,25-29-30,57-59-57,27-30-27,52-58-58,26-22-28
2,51-55-57,25-30-26,51-58-52,25-26-29,51-59-59,25-28-30,51-57-60,27-28-27,52-60-58,26-29-28,10-05-05,34-39-35
3,51-54-56,25-29-25,51-55-59,25-25-30,51-60-60,27-25-27,57-56-57,26-27-28,10-07-05,34-38-35,05-06-06,35-40-36
4,51-53-55,24-27-24,51-56-60,23-24-24,58-57-57,26-26-28,52-55-58,34-36-35,05-08-06,35-37-36,09-03-03,35-37-33
5,57-52-54,28-28-23,60-53-54,28-23-23,58-58-53,33-33-32,10-04-05,35-35-36,09-05-03,35-36-33,09-04-04,35-38-34
6,58-51-54,33-35-32,58-54-53,33-32-32,09-05-02,33-34-31,09-04-01,35-34-33,09-06-04,35-35-34,02-01-01,31-35-31
7,09-10-01,33-36-31,09-01-02,33-31-31,09-06-01,33-31-40,03-02-10,36-34-39,08-03-08,31-34-31,02-02-07,32-36-37
8,09-09-02,33-33-40,09-02-01,33-40-40,03-03-10,36-32-39,10-01-09,34-31-38,02-04-07,32-33-37,07-09-06,33-33-36
9,03-08-09,36-34-39,09-09-10,36-39-39,10-04-09,34-39-38,08-10-08,32-32-37,07-01-06,33-32-36,07-10-05,33-34-35
10,10-07-10,34-31-38,10-10-09,34-38-38,08-01-08,32-40-37,02-09-07,33-39-36,07-02-05,33-31-35,07-07-04,37-31-34
11,08-06-07,32-32-37,08-07-08,32-37-37,02-02-07,33-37-36,07-08-06,33-40-35,07-09-04,37-40-34,10-08-03,34-32-33
12,02-05-08,33-37-36,02-08-07,33-36-36,07-09-06,33-38-35,07-07-05,37-37-34,10-10-03,34-39-33,18-15-12,42-49-42
13,07-04-05,33-38-35,07-05-06,33-35-35,07-02-05,35-35-34,07-06-04,34-38-33,18-17-12,42-48-42,16-16-11,46-50-41
14,07-03-06,35-35-32,07-06-05,35-32-32,01-09-04,34-36-33,10-05-03,42-45-42,16-18-11,46-47-41,17-13-20,41-47-50
15,01-02-03,33-36-31,01-03-02,33-31-31,10-10-01,50-43-50,18-14-12,48-50-41,17-15-20,41-46-50,17-20-19,41-48-49
16,10-09-04,50-43-50,09-03-01,49-50-50,14-17-20,48-45-49,12-13-11,41-47-50,17-16-19,41-45-49,19-17-18,45-45-48
17,14-18-12,48-44-46,14-12-20,48-46-46,12-18-19,44-44-48,17-20-18,49-48-47,19-13-16,45-44-48,18-18-15,44-46-45
18,12-17-11,44-41-43,12-11-16,44-43-43,18-15-13,43-43-44,15-19-17,45-45-46,17-13-15,44-19-45,14-15-14,48-44-44
19,18-14-20,43-50-44,18-20-13,43-44-44,13-16-14,45-42-41,19-18-16,43-46-45,14-12-14,48-48-44,12-16-13,46-43-43
20,13-13-19,43-47-41,13-19-14,43-41-41,17-19-11,43-41-42,17-11-12,49-43-49,12-11-20,46-47-43,18-13-17,42-42-47
21,17-12-18,43-48-42,17-18-11,43-42-42,17-20-12,49-50-49,19-20-19,46-44-50,18-20-17,42-47-47,17-14-18,47-41-48
22,17-11-17,49-45-49,17-17-12,50-49-49,19-17-19,44-49-50,18-19-20,42-49-47,17-19-18,47-48-48,27-29-25,51-60-55
23,19-20-16,44-46-50,19-16-19,44-50-50,18-18-20,42-48-47,18-18-17,47-50-48,27-28-25,51-55-55,27-30-26,51-59-56
24,18-19-15,42-43-47,18-15-20,42-47-47,18-15-17,47-47-48,17-17-18,51-57-55,27-27-26,51-56-56,23-27-23,53-58-53
25,18-18-14,47-44-48,18-14-17,47-48-48,17-16-18,51-56-55,27-26-25,51-58-56,23-26-23,54-53-53,28-28-24,52-57-54
26,17-17-13,51-51-55,17-13-18,51-55-55,27-23-25,51-53-56,27-25-26,53-55-53,28-25-24,52-54-54,26-25-21,52-56-51
27,27-26-22,51-52-56,27-22-25,51-56-56,27-24-26,53-52-53,23-24-23,52-56-54,26-24-21,52-51-51,21-26-22,51-55-52
28,27-25-21,53-59-53,27-21-26,54-53-53,23-21-23,52-51-54,28-23-24,60-53-51,21-23-22,51-52-52,25-23-29,51-54-59
29,23-24-30,52-60-54,23-30-23,52-54-54,28-22-24,60-60-51,26-22-21,51-54-52,25-22-29,51-59-59,25-24-30,51-53-60
30,28-23-29,,28-29-24,60-51-51,26-29-21,51-59-52,21-21-22,51-51-59,25-21-30,51-60-60,27-21-27,57-52-57
31,26-22-28,,26-28-21,,21-30-22,,25-30-29,51-52-60,,58-57-57,,52-51-58
