日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,35-38-34,09-03-03,35-32-32,09-10-09,35-33-39,09-02-10,35-31-40,01-02-07,36-34-38,10-03-08,34-39-35,08-03-05
2,35-37-33,01-02-02,35-39-39,09-09-10,35-34-40,01-09-07,31-40-37,10-01-08,34-31-35,08-02-05,39-40-36,09-04-06
3,31-36-32,10-01-01,35-40-40,01-08-07,31-31-37,10-10-08,36-39-38,08-10-05,39-32-36,09-01-06,33-37-33,09-01-03
4,36-35-31,07-09-09,31-37-37,10-07-08,36-32-38,08-07-05,34-38-35,09-09-06,33-39-33,09-10-03,33-38-34,09-02-04
5,34-34-40,07-10-10,36-38-38,07-06-09,34-39-35,09-08-06,39-37-36,09-08-03,33-40-34,09-09-04,45-45-41,15-19-11
6,34-33-33,08-07-07,33-35-39,07-05-10,33-40-40,07-05-07,33-36-33,09-07-04,45-47-41,15-18-11,44-46-42,20-20-12
7,37-32-32,10-08-08,33-36-40,07-04-07,38-37-37,10-06-08,34-35-34,15-16-11,44-48-42,20-17-12,42-43-49,18-17-19
8,34-31-31,18-15-15,37-33-37,10-03-08,34-38-38,18-13-15,42-44-45,15-16-16,41-45-43,18-16-19,41-44-44,17-18-14
9,42-50-50,15-16-16,34-34-38,18-12-15,42-45-45,16-14-16,46-43-46,17-13-13,41-46-44,14-15-14,42-41-41,11-15-11
10,46-49-49,17-13-13,42-41-45,16-11-16,45-46-46,17-11-13,41-42-43,17-14-14,41-43-41,11-14-11,44-42-42,18-16-12
11,41-48-48,17-14-14,46-42-46,17-20-13,41-43-43,17-12-14,41-41-44,12-11-11,44-44-42,18-13-12,42-49-49,16-13-19
12,41-47-47,20-19-19,41-49-43,17-19-14,41-44-44,11-19-11,41-50-41,18-12-12,42-41-49,16-12-19,49-50-50,19-14-20
13,41-46-46,18-20-20,41-50-44,19-18-19,42-41-41,18-20-12,44-49-42,16-19-19,50-42-50,20-11-20,41-47-47,15-11-17
14,44-45-45,14-17-17,45-47-49,18-17-20,44-44-50,16-17-17,42-48-49,19-20-20,41-49-47,15-20-17,41-48-48,15-12-18
15,42-44-44,12-18-18,44-48-50,14-14-17,42-41-47,12-18-18,50-47-50,15-17-17,41-50-48,15-19-18,56-55-55,25-29-25
16,46-41-41,18-15-15,48-45-47,12-13-18,46-42-48,16-15-15,41-46-45,15-12-16,53-57-53,25-28-25,52-52-54,28-30-24
17,42-50-50,17-16-16,46-45-48,18-12-15,42-49-45,13-17-16,41-45-46,29-29-23,52-58-54,28-27-24,60-59-51,26-27-21
18,50-49-49,29-23-23,42-44-45,17-18-16,49-50-46,29-26-23,53-52-53,28-30-24,58-55-51,26-26-21,56-60-52,30-28-22
19,53-56-56,27-22-22,47-43-46,29-25-23,53-57-53,27-25-24,51-51-54,22-27-21,56-55-52,30-21-22,52-57-59,26-26-29
20,51-55-55,23-29-29,53-52-53,27-26-22,51-58-54,23-24-21,58-60-51,30-28-22,52-54-59,26-30-29,57-58-60,23-25-30
21,53-54-54,28-30-30,51-51-52,23-23-29,53-51-59,28-23-30,56-53-52,26-25-29,51-53-60,23-29-30,53-55-57,27-24-27
22,52-53-53,26-27-27,53-60-59,28-24-30,52-52-60,26-22-27,52-52-59,21-26-30,53-52-57,27-29-27,51-56-58,25-23-28
23,51-52-52,21-28-28,52-59-60,26-21-27,52-59-57,21-21-28,51-51-58,25-21-25,51-51-56,25-30-28,57-51-53,27-22-23
24,52-51-51,26-25-25,52-58-57,21-22-28,51-60-58,25-30-25,51-60-55,25-22-26,57-60-53,27-27-23,52-52-54,26-21-24
25,51-60-60,25-26-26,51-57-58,25-29-25,51-57-55,25-29-26,51-59-56,27-29-23,52-59-54,26-28-24,10-09-01,36-40-31
26,51-59-59,27-23-23,51-56-55,25-30-26,51-58-56,27-28-23,57-58-53,26-30-24,10-08-01,36-35-31,05-10-02,35-39-32
27,57-58-58,26-24-24,51-55-56,27-27-23,57-55-53,26-25-24,52-57-54,36-37-31,05-07-02,35-36-32,09-07-09,35-38-39
28,52-57-57,34-31-31,57-54-53,26-28-24,52-56-54,34-34-31,10-06-01,35-38-32,09-06-09,35-33-39,09-08-10,35-37-40
29,10-06-06,,52-53-54,34-35-31,10-03-01,35-33-32,05-05-02,35-35-39,09-05-10,35-34-40,01-05-07,31-36-37
30,06-05-05,,10-02-01,35-36-32,05-04-02,35-32-39,09-04-09,35-36-40,01-04-07,31-31-37,10-06-08,36-35-38
31,09-04-04,,05-01-02,,09-01-09,,09-03-10,31-33-37,,36-32-38,,34-34-35
