日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,51-53-60,27-28-27,51-55-57,25-25-28,51-60-58,27-25-25,57-56-55,26-27-26,10-07-03,34-38-33,05-06-04,35-40-34
2,57-52-57,26-27-28,51-55-58,27-24-25,57-57-55,25-26-26,52-55-56,34-36-33,05-08-04,35-37-34,09-03-01,35-37-31
3,52-51-58,34-36-35,57-53-55,26-23-26,52-58-56,34-33-33,10-04-03,35-35-34,09-05-01,35-36-31,09-04-02,35-38-32
4,10-10-05,33-36-36,52-54-56,34-32-33,10-05-03,35-34-34,05-03-04,35-34-31,09-06-02,35-35-32,01-01-09,31-35-39
5,09-09-01,34-33-33,09-01-05,33-31-36,09-06-06,35-31-31,09-02-01,35-33-32,01-03-09,31-34-39,10-02-10,36-36-40
6,03-08-10,36-34-34,09-02-06,33-40-33,04-03-03,36-32-34,09-01-02,31-32-39,10-04-10,36-33-40,08-09-07,34-33-37
7,10-07-09,34-31-31,03-09-03,36-39-34,10-04-04,34-39-31,08-10-01,31-32-32,08-01-07,34-32-37,07-10-10,33-34-40
8,08-06-08,31-32-32,10-10-04,34-38-31,08-01-01,32-40-32,02-09-02,33-39-39,07-02-10,33-31-40,08-07-07,37-31-37
9,02-05-07,33-39-39,08-07-01,32-37-32,01-02-02,33-37-39,07-08-09,33-40-40,07-09-07,37-40-37,10-08-08,34-32-38
10,07-04-06,33-40-40,02-08-02,33-36-39,07-09-09,33-38-40,07-07-10,38-37-37,10-10-08,34-39-38,18-15-15,42-49-45
11,07-03-05,38-37-37,07-05-09,33-35-40,07-10-10,37-35-37,07-06-07,34-38-38,18-17-15,42-48-45,15-16-16,46-50-46
12,07-02-04,34-36-40,07-06-10,37-34-37,08-07-07,34-36-38,10-05-08,42-45-45,16-18-16,46-47-46,17-13-13,41-47-43
13,10-01-03,42-43-47,01-03-09,34-33-40,09-10-10,42-43-45,18-14-15,45-46-46,17-15-13,41-46-43,17-14-14,41-48-44
14,18-20-12,48-44-48,10-04-10,42-42-47,18-17-17,48-44-48,16-13-16,41-43-43,17-16-14,41-45-44,12-11-11,41-45-41
15,12-17-19,44-41-45,14-11-17,48-49-48,12-18-18,41-41-45,17-12-15,41-48-46,11-13-11,41-44-41,18-18-14,44-46-44
16,18-16-18,49-42-46,12-11-18,44-48-45,18-15-15,49-42-46,17-11-16,45-45-43,18-14-14,44-43-44,16-15-11,42-43-41
17,15-15-17,45-49-43,18-20-15,49-47-46,15-16-16,45-42-43,19-18-13,44-46-44,16-11-11,42-42-41,12-16-12,46-44-42
18,19-12-11,43-50-44,13-19-16,45-41-43,19-13-13,43-41-44,17-17-14,48-43-41,11-12-12,46-47-42,18-13-19,42-42-49
19,17-11-12,49-45-47,19-18-13,43-42-44,17-14-14,49-50-41,14-16-11,46-44-42,18-20-19,42-46-49,13-14-20,49-41-50
20,19-20-19,44-46-48,17-17-20,49-49-47,19-17-17,46-49-42,12-19-12,42-41-49,13-19-20,49-45-50,29-21-27,53-60-57
21,18-19-20,42-43-45,19-16-17,44-50-48,17-18-18,42-48-45,18-18-19,47-42-50,29-28-27,53-55-57,27-22-28,51-59-58
22,18-18-17,47-44-46,18-15-18,42-47-45,18-15-15,47-47-46,17-17-16,51-57-53,27-27-28,51-56-58,23-27-21,53-58-51
23,17-17-18,51-51-53,18-14-15,47-48-46,17-16-16,51-56-53,27-26-23,51-58-54,23-26-21,53-53-51,28-28-22,52-57-52
24,27-26-25,51-52-54,17-13-16,51-55-53,27-23-23,51-55-54,27-25-24,53-55-51,28-25-22,52-54-52,26-25-29,52-56-59
25,27-25-26,53-59-51,27-22-23,51-56-54,27-24-24,53-54-51,23-24-21,52-56-52,26-24-29,52-51-59,21-26-30,51-55-60
26,23-24-23,52-60-52,27-21-24,53-53-51,23-21-21,52-53-52,28-23-22,52-53-59,21-23-30,51-52-60,25-23-27,51-54-57
27,28-23-24,60-57-59,23-30-21,52-54-52,28-22-22,60-60-59,26-22-29,51-54-60,25-22-27,51-59-57,25-24-28,51-53-58
28,26-22-21,51-58-60,28-29-22,60-51-59,26-29-29,51-59-60,21-21-30,51-51-57,25-21-28,51-60-58,27-21-25,57-52-55
29,21-21-22,,26-28-29,51-52-60,21-30-30,51-58-57,25-30-27,51-52-58,27-30-25,57-57-55,26-22-26,52-51-56
30,25-30-29,,21-27-30,51-59-57,25-27-27,51-57-58,25-29-28,57-59-55,26-29-26,52-58-56,34-39-33,10-10-03
31,25-29-30,,25-26-27,,25-28-28,,27-28-25,52-60-56,,10-05-03,,05-09-04
