日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,49-44-45,18-19-16,43-48-47,19-16-16,49-49-46,18-18-15,44-47-45,16-18-14,47-50-43,17-19-13,51-55-52,27-29-22
2,44-43-46,16-18-13,49-45-46,18-15-15,44-50-45,16-15-14,42-46-44,17-17-13,51-57-52,27-28-22,51-56-51,27-30-21
3,42-42-43,17-17-14,44-46-45,16-14-14,42-47-44,17-16-13,47-45-43,27-26-22,51-58-51,27-27-21,53-53-60,23-27-30
4,47-41-44,25-25-21,42-43-44,17-13-13,47-48-43,27-23-22,51-54-52,27-25-21,53-55-60,23-26-30,52-54-59,28-28-29
5,51-60-51,28-26-22,41-48-44,25-22-21,51-55-52,27-24-21,51-53-51,23-24-30,52-56-59,28-25-29,60-51-58,26-25-28
6,52-59-56,26-23-29,55-51-51,28-21-22,52-56-52,26-21-29,53-52-60,28-23-29,60-53-58,26-24-28,51-52-57,21-26-27
7,60-58-53,24-24-30,51-52-52,26-30-29,60-53-59,24-22-30,54-52-60,26-22-28,51-54-57,21-23-27,51-59-56,25-23-26
8,54-57-54,25-21-27,60-59-59,24-29-30,54-54-60,25-29-27,59-60-57,25-22-28,59-51-55,25-22-26,52-60-56,26-24-26
9,59-56-51,25-22-28,54-60-60,25-28-27,59-51-57,25-30-28,59-59-58,29-29-25,52-52-56,26-21-26,60-57-53,24-21-23
10,59-55-52,29-29-25,59-57-57,25-27-28,59-52-58,29-27-25,59-58-55,26-30-26,60-59-53,24-30-23,58-58-54,28-22-24
11,59-54-59,26-30-26,59-58-58,29-26-25,59-59-55,26-28-26,52-57-56,24-27-23,58-60-54,28-29-24,09-05-01,33-39-31
12,52-53-60,24-25-23,59-55-55,26-25-26,52-60-56,24-25-23,60-56-53,28-28-24,09-07-01,33-38-31,09-06-02,33-40-32
13,60-52-57,30-26-24,52-56-56,24-24-23,60-57-53,28-26-24,58-55-54,33-35-31,09-08-02,33-37-32,03-03-09,33-37-39
14,54-51-56,33-33-31,60-53-53,30-23-24,54-60-54,33-33-31,09-04-01,33-36-32,03-05-09,33-36-39,10-04-10,36-38-40
15,09-10-03,31-34-31,53-54-54,33-40-31,09-07-01,33-34-32,09-03-02,33-33-39,10-06-10,36-35-40,08-01-07,34-35-37
16,07-07-04,37-31-40,09-01-01,31-39-31,07-08-02,37-31-39,01-02-09,36-38-40,08-03-07,34-34-37,04-08-08,38-36-38
17,01-06-01,35-32-39,07-01-01,37-38-40,01-05-10,35-33-39,10-01-10,34-35-37,04-04-08,38-33-38,07-05-05,33-33-35
18,09-05-02,31-39-38,01-10-10,35-34-39,09-06-09,40-32-38,06-08-07,38-36-38,07-01-05,33-32-35,05-06-06,31-34-36
19,01-02-09,36-38-37,10-09-09,31-31-38,01-03-08,38-31-37,04-07-07,34-33-36,05-01-05,31-37-36,01-03-04,35-32-34
20,04-01-10,34-35-36,01-08-08,36-32-37,04-04-07,34-40-36,10-06-05,31-34-35,01-10-04,35-36-34,09-04-03,33-31-33
21,10-10-05,39-36-35,10-07-07,34-39-36,10-07-06,39-39-35,09-09-05,35-31-34,09-09-03,33-35-33,15-11-12,45-50-42
22,09-09-06,33-33-34,10-06-06,39-40-35,09-08-05,33-38-34,01-08-04,33-32-33,15-18-12,45-45-42,12-12-11,48-49-41
23,09-08-03,33-34-33,09-05-05,33-37-34,09-05-04,33-37-33,09-07-03,45-47-42,20-17-11,48-46-41,18-17-20,44-48-50
24,09-07-04,45-41-42,09-04-04,33-38-33,09-06-03,45-46-42,15-16-12,44-48-41,18-16-20,44-43-50,13-18-19,43-47-49
25,15-16-11,44-42-41,09-03-03,45-45-42,15-13-12,44-45-41,20-15-11,44-45-50,13-15-19,43-44-49,17-15-18,43-46-48
26,20-15-12,42-49-50,15-12-12,44-46-41,20-14-11,44-44-50,18-14-20,43-46-49,17-14-18,43-41-48,17-16-17,43-45-47
27,18-14-19,43-50-49,20-11-11,42-43-50,18-11-20,43-41-49,13-13-19,43-43-48,17-13-17,43-42-47,19-13-16,49-44-46
28,13-13-20,43-47-48,18-20-20,43-44-49,13-12-19,43-50-48,17-12-18,43-44-47,19-12-16,49-49-46,18-14-15,44-43-45
29,17-12-17,,13-19-19,43-41-48,17-19-18,43-49-47,17-11-17,49-41-46,18-11-15,44-50-45,16-11-14,42-42-44
30,17-11-18,,17-18-18,43-42-47,17-20-17,49-48-46,19-20-16,44-42-45,16-20-14,42-47-44,17-12-13,47-41-43
31,19-20-15,,18-17-17,,19-17-16,,18-19-15,42-49-44,,47-48-43,,51-60-52
