日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,18-13-11,42-48-50,19-15-19,44-45-50,18-20-20,42-45-47,16-16-17,47-47-48,27-27-25,51-58-55,27-26-26,51-60-56
2,16-12-20,47-47-49,18-16-20,42-44-47,18-17-17,47-46-48,17-15-18,51-56-55,27-28-26,51-57-56,24-23-23,53-57-53
3,17-11-19,51-56-58,16-13-17,47-43-48,17-18-18,51-53-55,27-24-25,51-55-56,23-25-23,53-56-53,28-24-24,52-58-54
4,27-30-28,52-56-57,17-14-18,51-52-55,27-25-25,51-54-56,27-23-26,53-54-53,28-26-24,52-55-54,26-21-21,60-55-51
5,27-29-27,60-53-56,27-21-25,52-51-57,27-28-28,53-51-53,23-22-23,52-53-54,26-23-21,60-54-51,21-22-22,51-56-52
6,26-28-25,54-54-55,28-22-27,60-60-56,26-23-26,54-52-55,28-21-24,60-52-51,21-24-22,51-53-52,25-29-29,51-53-59
7,24-27-26,59-51-54,26-29-26,54-59-55,24-24-25,59-59-54,25-30-24,51-51-52,25-21-29,51-52-59,25-30-30,52-54-51
8,25-26-23,59-52-53,24-30-25,59-58-54,25-21-24,59-60-53,25-29-23,59-59-52,26-22-21,51-51-60,24-27-30,60-51-60
9,25-25-24,59-59-52,25-27-24,59-57-53,25-22-23,59-57-52,29-28-22,52-60-51,24-29-30,59-60-60,28-28-29,58-52-59
10,29-24-21,52-60-51,25-28-23,59-56-52,29-29-22,52-58-51,26-27-21,60-57-60,28-30-29,58-59-59,33-35-38,09-09-08
11,26-23-22,60-57-60,29-25-22,52-55-51,26-30-21,60-55-60,24-26-30,58-58-59,33-37-38,09-08-08,33-36-37,09-10-07
12,24-22-29,54-56-59,26-26-21,60-54-60,24-27-30,58-56-59,28-25-29,09-05-08,33-38-37,09-07-07,33-33-36,03-07-06
13,28-21-30,09-03-08,24-23-30,54-53-59,28-28-29,09-03-08,33-34-38,09-06-07,33-35-36,03-06-06,36-34-35,10-08-05
14,33-40-37,07-04-03,30-24-29,09-02-08,33-37-38,09-04-07,33-33-37,03-03-06,36-36-35,10-05-05,34-31-34,08-05-04
15,33-39-38,01-01-02,33-31-38,07-09-03,33-38-37,01-01-06,37-32-36,10-04-05,34-33-34,08-04-04,32-32-33,04-06-03
16,37-36-35,09-02-01,31-32-33,01-08-02,37-35-32,10-02-01,36-31-35,08-05-04,38-34-33,02-03-03,33-35-32,07-03-02
17,36-35-35,09-01-01,37-40-32,09-07-01,35-36-31,06-02-10,40-38-40,04-06-03,33-31-32,07-02-02,33-36-31,05-04-07
18,40-34-34,04-10-02,35-39-31,02-01-01,40-33-40,04-01-09,38-37-39,07-03-08,31-32-37,07-01-01,35-33-36,01-02-06
19,38-31-33,10-05-09,31-38-31,04-02-02,38-34-32,10-10-09,34-36-38,05-04-07,35-40-36,01-06-06,33-34-35,09-01-05
20,34-40-32,09-06-10,38-37-32,10-09-09,34-31-39,09-09-10,39-39-40,01-01-06,33-39-35,09-05-05,50-41-44,15-20-15
21,39-39-31,09-03-07,34-36-39,09-10-10,39-38-40,09-08-07,35-38-37,09-02-08,45-48-45,13-14-14,48-42-46,12-19-16
22,33-38-40,09-04-08,39-35-40,09-07-07,33-35-37,09-07-08,33-37-38,15-19-15,48-47-46,12-16-16,44-49-43,18-18-13
23,33-37-39,15-11-15,33-34-37,09-08-08,33-36-38,15-16-15,45-46-45,20-18-16,44-46-43,18-13-13,43-48-44,13-17-14
24,45-46-48,20-12-16,33-33-38,16-15-15,45-43-45,20-15-16,44-45-46,18-15-13,43-45-44,13-14-14,43-45-41,17-16-11
25,44-45-47,18-19-13,45-42-45,20-16-16,44-44-46,18-14-13,44-44-43,13-16-14,43-44-41,17-11-11,43-46-42,17-15-12
26,44-44-46,13-20-14,44-41-46,18-13-13,44-41-43,13-13-14,43-43-44,17-13-11,43-43-42,17-12-12,49-43-49,19-14-19
27,43-43-45,17-17-11,42-50-43,13-14-14,43-42-44,17-20-11,43-42-41,17-14-12,49-42-49,20-19-19,44-44-50,18-13-20
28,43-42-44,17-18-12,43-49-44,17-11-11,43-49-41,17-19-12,43-41-42,19-11-19,44-41-50,18-20-20,42-41-47,16-12-17
29,43-41-43,,43-48-41,17-12-12,43-50-42,19-18-19,49-50-49,18-12-20,42-50-47,16-17-17,47-42-48,17-11-18
30,49-50-42,,43-47-42,20-19-19,49-47-49,18-17-20,44-49-50,16-19-17,47-49-48,17-18-18,51-59-55,27-30-25
31,44-49-41,,49-46-49,,44-48-50,,42-48-47,17-20-18,,27-25-25,,27-29-26
