日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,10-10-05,35-35-36,52-54-56,34-32-33,10-05-03,35-34-34,05-03-04,35-34-31,09-06-02,35-35-32,01-01-09,31-35-39
2,05-09-06,35-34-33,10-01-03,35-31-34,05-06-04,35-31-31,09-02-01,35-33-32,01-03-09,31-34-39,10-02-10,36-36-40
3,09-08-03,35-33-34,05-02-04,35-40-31,09-03-01,35-32-32,09-01-02,31-32-39,10-04-10,36-33-40,08-09-07,34-33-37
4,09-07-04,34-31-31,09-09-01,35-39-32,09-04-02,31-39-39,01-10-09,36-31-40,08-01-07,34-32-37,09-10-08,39-34-38
5,08-06-08,31-32-32,10-10-04,34-38-31,08-01-01,32-40-32,10-09-10,34-40-37,09-02-08,39-31-38,09-07-05,33-31-35
6,02-05-07,33-39-39,08-07-01,32-37-32,01-02-02,33-37-39,07-07-09,39-39-38,09-09-05,33-40-35,09-08-06,33-32-36
7,07-04-06,33-40-40,02-08-02,33-36-39,07-09-09,33-38-40,07-07-10,38-37-37,10-10-08,33-39-36,18-15-15,42-49-45
8,07-03-05,38-37-37,07-05-09,33-35-40,07-10-10,37-35-37,07-06-07,34-38-38,18-17-15,42-48-45,15-16-16,46-50-46
9,07-02-04,34-38-38,07-06-10,37-34-37,08-07-07,34-36-38,10-05-08,42-45-45,16-18-16,46-47-46,17-13-13,41-47-43
10,10-01-03,42-45-45,07-03-07,34-33-38,10-08-08,42-43-45,18-14-15,45-46-46,17-15-13,41-46-43,17-14-14,41-48-44
11,18-20-12,45-46-46,10-04-08,42-42-45,18-15-15,46-44-46,16-13-16,41-43-43,17-16-14,41-45-44,12-11-11,41-45-41
12,16-19-11,41-41-45,18-11-15,46-41-46,15-16-16,41-41-43,17-12-13,41-44-44,11-13-11,41-44-41,18-12-12,44-46-42
13,17-18-20,41-42-46,12-12-18,41-50-45,17-15-15,41-42-46,17-11-14,42-41-41,18-14-12,44-43-42,16-19-19,42-43-49
14,17-17-19,45-49-43,17-19-15,41-49-46,17-16-16,45-49-43,12-20-11,44-42-42,16-11-19,42-42-49,19-20-20,50-44-50
15,19-14-16,43-50-44,15-20-16,45-46-43,19-13-13,44-50-44,18-19-14,42-43-41,11-12-12,50-41-50,15-13-19,41-41-49
16,17-13-15,48-47-41,19-18-13,43-45-44,17-14-14,48-50-41,16-18-11,46-44-42,15-19-19,41-50-49,15-14-20,41-42-50
17,14-12-14,46-48-42,17-17-14,48-44-41,14-11-11,46-49-42,12-15-12,41-41-49,13-20-20,41-49-50,29-21-27,53-59-57
18,12-19-20,42-45-49,19-16-11,46-50-42,11-12-12,42-48-49,18-14-19,49-42-50,29-28-27,53-54-57,27-28-28,51-59-58
19,18-18-17,47-44-46,12-15-12,42-47-49,18-19-19,47-47-50,13-13-20,53-59-57,27-27-28,51-53-58,22-29-25,58-58-55
20,17-17-18,51-51-53,18-14-15,47-48-46,17-16-16,51-56-53,29-26-27,51-60-58,23-26-25,58-52-55,30-30-26,56-57-56
21,27-26-25,51-52-54,17-13-16,51-53-53,27-23-23,51-55-54,27-25-28,53-57-55,30-25-26,56-54-56,26-27-23,52-56-53
22,27-25-26,53-59-51,27-22-23,51-56-54,27-24-24,53-54-51,23-24-21,52-56-52,26-24-29,52-51-53,21-26-30,51-55-60
23,23-24-23,52-60-52,27-21-24,53-53-51,23-21-21,52-53-52,28-23-22,52-53-59,21-23-30,51-52-60,25-23-27,51-54-57
24,28-23-24,52-57-59,23-30-21,52-54-52,28-22-22,52-52-59,26-22-29,51-54-60,25-22-27,51-59-57,25-24-28,51-53-58
25,26-22-21,51-58-60,28-29-22,52-51-59,26-29-29,51-51-60,21-21-30,51-51-57,25-21-28,51-60-58,27-21-25,57-52-55
26,21-21-22,51-55-57,26-28-29,51-52-60,21-30-30,51-58-57,25-30-27,51-52-58,27-30-25,57-57-55,26-22-26,52-51-56
27,25-30-29,51-56-58,21-27-30,51-59-57,25-27-27,51-57-58,25-29-28,57-59-55,26-29-26,52-58-56,36-39-33,10-10-03
28,25-29-30,57-53-55,25*26-27,51-60-58,25-28-28,57-56-55,27-28-25,52-60-56,34-38-33,10-05-03,35-40-34,05-09-04
29,27-28-27,,25-25-28,57-55-55,27-25-25,52-55-56,26-27-26,10-07-03,35-37-34,05-06-04,35-37-31,09-08-04
30,26-27-28,,27-24-25,52-58-56,25-26-26,10-04-03,34-36-33,05-08-04,35-36-31,09-03-01,35-38-32,09-07-02
31,34-36-35,,26-23-26,,34-33-33,,35-35-34,09-05-01,,09-04-02,,01-06-09
