日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,34-34-33,09-09-04,34-35-34,09-05-03,39-40-33,09-05-02,33-36-32,09-07-01,45-47-50,15-18-20,44-46-49,20-20-19
2,39-33-34,09-08-01,39-36-33,09-04-02,33-37-32,09-06-01,33-35-31,15-16-20,44-48-49,20-17-19,42-43-48,18-17-18
3,33-32-31,09-07-02,33-33-32,09-03-01,33-38-31,15-13-20,45-44-50,20-15-19,42-45-48,18-16-18,43-44-47,13-18-17
4,33-31-32,18-15-19,33-34-31,18-12-19,45-45-50,20-14-19,44-43-49,18-14-18,43-46-47,13-15-17,43-41-46,17-15-16
5,45-50-49,16-16-20,42-41-49,16-11-20,46-46-50,17-11-17,42-42-48,13-13-17,43-43-46,17-14-16,43-42-45,17-16-15
6,46-49-46,17-13-17,46-42-50,17-20-17,41-43-47,17-12-18,41-42-48,17-12-16,43-44-45,17-13-15,49-49-44,19-13-14
7,41-48-43,17-14-18,41-49-47,17-19-18,41-44-48,11-19-15,41-50-45,18-12-16,42-41-43,19-12-14,50-50-44,20-14-14
8,41-47-44,11-11-15,41-50-48,11-18-15,41-41-45,18-20-16,44-49-46,16-19-13,50-42-44,20-11-14,41-47-41,15-11-11
9,41-46-41,18-12-16,41-47-45,18-17-16,44-42-46,16-17-13,42-48-43,20-20-14,41-49-41,15-20-11,41-48-42,15-12-12
10,44-45-42,16-19-13,44-48-46,16-16-13,42-49-43,20-18-14,50-47-44,15-17-11,41-50-42,15-19-12,55-55-59,25-29-29
11,42-44-49,20-20-14,42-45-43,20-15-14,50-50-44,15-15-11,41-46-41,15-18-12,55-57-59,25-28-29,52-56-60,28-30-30
12,50-43-50,15-15-11,50-46-44,15-14-11,41-47-41,15-16-12,41-45-42,25-25-29,52-58-60,28-27-30,60-53-57,26-27-27
13,41-42-47,15-16-12,41-43-41,15-13-12,41-50-42,29-23-29,55-54-59,28-26-30,60-55-57,26-26-27,54-54-58,24-28-28
14,41-41-44,29-23-29,41-44-42,29-30-29,53-57-59,28-24-30,52-53-60,26-23-27,54-56-58,24-25-28,59-51-55,26-25-25
15,53-60-51,27-24-29,53-51-59,27-29-29,52-58-60,22-21-27,60-52-57,30-28-28,59-53-55,25-24-25,59-58-56,25-26-26
16,52-57-52,22-21-28,51-51-59,22-28-28,58-55-58,30-23-27,56-51-58,26-25-25,59-54-56,25-23-26,53-55-53,27-23-23
17,58-56-59,30-22-27,58-60-58,30-24-27,56-56-57,26-22-26,59-58-55,23-26-26,53-51-53,27-22-23,52-56-54,26-24-24
18,56-55-60,26-29-26,56-59-57,26-21-26,52-53-56,21-21-25,57-57-55,27-23-24,51-51-53,26-27-24,56-53-52,21-22-22
19,52-52-57,21-28-25,52-58-56,21-22-25,51-54-55,27-30-24,53-56-54,25-24-23,56-60-52,22-26-22,54-54-51,30-21-21
20,51-51-58,25-25-24,51-57-55,25-29-24,51-57-54,25-29-23,51-59-53,27-21-22,54-59-51,30-25-21,10-01-10,36-40-40
21,51-60-53,25-26-23,51-56-54,25-30-23,51-58-53,27-28-22,57-58-52,30-22-21,10-08-10,36-35-40,05-02-09,35-39-39
22,51-59-54,27-23-22,51-55-53,27-27-22,57-55-52,26-27-21,52-57-51,36-37-40,05-07-09,35-36-39,09-07-08,35-38-38
23,57-58-51,26-24-21,57-54-52,26-28-21,52-56-51,36-36-40,10-06-10,35-38-39,09-06-08,35-33-38,09-08-07,35-37-37
24,52-57-52,36-31-40,52-53-51,36-35-40,10-03-10,35-35-39,05-05-09,35-35-38,09-05-07,35-34-37,01-05-06,31-36-36
25,10-06-09,35-32-39,10-02-10,35-36-39,05-04-09,35-34-38,09-04-08,35-36-37,01-04-06,31-31-36,10-06-05,36-35-35
26,05-05-10,35-39-38,05-01-09,35-33-38,09-01-08,35-31-37,09-03-07,31-33-36,10-03-05,36-32-35,10-03-04,33-34-34
27,09-04-07,35-40-37,09-10-08,35-34-37,09-02-07,31-40-36,01-02-06,36-34-35,10-02-04,34-39-34,09-04-03,39-33-33
28,09-03-08,31-37-36,09-09-07,31-31-36,01-09-06,36-39-35,10-01-05,34-34-34,09-01-03,39-40-33,09-01-02,33-32-32
29,01-02-05,36-38-35,01-08-06,36-32-35,10-10-05,34-38-34,08-10-04,39-32-33,09-10-02,33-37-32,09-02-01,33-31-31
30,10-01-06,,10-07-05,34-39-34,08-07-04,39-37-33,09-09-03,33-39-32,09-09-01,33-38-31,15-19-20,45-50-50
31,08-10-03,,08-06-04,,09-08-03,,09-08-02,33-40-31,,45-45-50,,44-49-49
