日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,16-12-11,47-47-42,16-13-12,47-43-41,17-18-11,51-53-60,27-24-30,51-55-59,23-25-28,53-56-58,28-24-27,52-58-57
2,17-11-12,51-56-59,17-14-11,51-52-60,27-25-30,51-54-59,27-23-29,53-54-58,28-26-27,52-55-57,26-21-26,60-55-56
3,27-30-29,51-55-60,27-21-30,51-51-59,27-26-29,53-51-58,23-22-28,52-53-57,26-23-26,60-54-56,21-22-25,51-56-55
4,27-29-30,53-54-57,27-22-29,53-60-58,23-23-28,52-52-57,28-21-27,60-52-56,21-24-25,51-53-55,25-29-24,51-53-54
5,23-28-27,54-54-58,26-23-27,54-59-58,28-24-27,60-59-56,26-30-26,51-51-55,25-21-24,51-52-54,25-30-23,51-54-53
6,24-27-24,59-51-55,24-30-28,59-58-55,25-21-25,59-60-56,21-29-25,51-60-65,25-22-23,51-51-53,27-27-22,57-51-52
7,25-26-21,59-52-56,25-27-25,60-57-56,25-22-26,59-57-53,29-28-23,51-59-53,27-29-22,57-60-52,28-28-22,58-52-52
8,25-25-22,59-59-53,25-28-26,59-56-53,29-29-23,52-58-54,26-27-24,60-57-51,28-30-22,58-59-52,33-35-39,10-09-09
9,29-24-29,52-60-54,29-25-23,52-55-54,26-30-24,60-55-51,24-26-21,58-58-52,33-37-39,09-08-09,33-36-40,09-10-10
10,26-23-30,60-57-51,26-26-24,60-54-51,24-27-21,58-56-52,28-25-22,09-05-09,33-38-40,09-07-10,33-33-37,03-07-07
11,24-22-27,58-58-52,24-23-21,58-53-52,28-28-22,09-03-09,33-34-39,09-06-10,33-35-37,03-06-07,36-34-38,10-08-08
12,28-21-28,09-05-09,28-24-22,09-02-09,33-35-39,09-04-10,33-33-40,03-03-07,36-36-38,10-05-08,34-31-35,08-05-05
13,33-40-35,09-04-10,33-31-39,09-01-10,33-36-40,03-01-07,33-32-37,10-04-08,34-33-35,08-04-05,32-32-36,02-06-06
14,33-39-32,01-01-07,33-32-40,01-10-07,37-35-37,10-02-08,36-31-38,08-01-05,32-34-36,02-03-06,33-39-33,07-03-03
15,37-38-39,10-02-08,37-39-37,10-07-08,36-36-38,08-09-05,34-40-35,02-02-06,33-31-33,07-02-03,33-36-34,07-04-04
16,36-35-40,06-09-06,36-40-38,05-06-06,40-33-35,04-10-06,38-39-36,07-03-03,33-32-34,07-01-04,35-33-31,02-01-01
17,40-34-37,04-10-05,40-38-36,04-05-05,38-34-35,10-10-04,33-36-33,07-04-04,35-39-31,01-10-01,34-34-32,10-02-02
18,38-33-38,10-07-04,38-37-35,10-09-04,34-31-34,05-09-03,31-35-33,02-01-01,34-40-32,10-05-02,50-41-50,14-20-20
19,34-40-33,09-08-03,34-36-34,09-10-03,39-32-33,01-08-02,35-34-32,09-02-01,50-48-50,14-14-20,48-42-49,12-19-19
20,39-39-34,09-03-02,39-35-33,09-07-02,35-39-32,09-07-01,33-37-31,14-19-20,48-47-49,12-13-19,44-49-48,17-18-18
21,33-38-31,09-04-01,33-34-32,09-08-01,33-36-31,15-16-20,45-46-50,12-20-19,44-46-48,18-13-18,43-50-47,13-17-17
22,33-37-32,15-11-20,33-33-31,15-15-20,45-43-50,20-15-19,44-45-49,18-17-18,43-45-47,13-14-17,43-45-46,17-16-16
23,45-46-49,20-12-19,45-42-50,20-16-19,44-44-49,18-14-18,44-44-48,13-16-17,43-44-46,17-11-16,43-46-45,17-15-15
24,44-45-50,18-19-18,44-41-49,18-13-18,44-41-48,13-13-17,43-43-47,17-13-16,43-43-45,17-12-15,49-43-44,19-14-14
25,44-44-47,13-20-17,44-50-48,13-14-17,43-42-47,17-12-16,43-42-46,17-14-15,49-42-44,19-19-14,44-44-43,18-13-13
26,43-43-48,18-17-16,43-49-47,17-11-16,43-49-46,17-11-15,43-41-45,19-11-14,44-41-43,18-20-13,42-41-42,18-12-12
27,43-42-45,17-18-15,43-48-46,17-12-15,43-50-45,19-18-14,49-50-44,18-12-13,42-50-42,18-17-12,47-42-41,17-11-11
28,43-41-46,19-15-14,43-47-45,19-19-14,49-47-44,18-17-13,44-49-43,18-19-12,47-49-41,17-18-11,51-59-60,27-30-30
29,49-50-43,18-16-13,49-46-44,18-20-13,44-48-43,16-16-12,42-48-42,17-20-11,51-58-60,27-25-30,51-60-59,27-29-29
30,44-49-44,,44-45-43,16-17-12,42-45-42,17-15-1,47-47-41,27-27-30,51-57-59,27-26-29,53-57-58,23-28-28
31,42-48-41,,42-44-42,,47-46-41,,51-56-60,27-28-29,,23-23-28,,28-27-27
