日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,51-55-59,25-30-28,60-57-52,21-27-21,51-52-51,25-27-30,51-58-60,25-29-29,57-59-58,27-30-28,51-58-57,26-22-27
2,51-54-58,25-29-27,51-58-51,25-26-30,51-59-60,25-28-29,51-57-59,27-28-28,52-60-57,26-29-27,10-05-06,34-39-36
3,51-53-57,25-28-26,51-55-60,25-25-29,51-60-59,27-25-28,57-56-58,26-27-27,10-07-06,34-38-36,05-06-05,35-40-35
4,57-51-56,26-27-25,51-56-59,27-24-28,57-57-58,26-26-27,52-55-57,34-36-36,05-08-05,35-37-35,09-03-04,35-37-34
5,52-51-55,33-35-34,57-53-58,25-23-27,52-58-57,34-33-36,10-04-06,36-35-35,09-05-04,35-36-34,09-04-03,35-38-33
6,09-10-03,33-36-33,58-54-55,33-32-34,09-03-04,33-34-33,05-03-05,35-34-34,09-06-03,35-35-33,01-01-02,31-35-32
7,09-09-04,33-33-32,06-01-04,33-31-33,09-06-03,33-31-32,09-02-04,35-33-33,01-03-02,31-37-32,10-02-01,36-36-31
8,03-08-01,36-34-31,09-02-03,33-40-32,03-03-02,36-32-31,10-01-01,34-31-40,02-04-09,36-33-31,07-09-08,33-33-38
9,10-07-02,34-31-40,03-09-02,36-39-31,10-04-01,34-39-40,08-10-10,32-32-39,07-01-08,33-32-38,07-10-07,33-34-37
10,08-06-09,32-32-39,10-10-01,34-38-40,08-01-10,32-40-39,07-09-09,33-39-38,07-02-07,33-31-37,07-07-06,37-31-36
11,02-05-10,33-39-38,08-07-10,32-37-39,02-02-09,33-37-38,07-08-08,33-40-37,07-09-06,37-40-36,10-08-05,34-32-35
12,07-04-07,33-40-37,02-08-09,33-36-38,07-09-08,33-38-37,08-07-07,37-37-36,10-10-05,34-39-35,18-15-14,42-49-44
13,07-03-08,35-35-36,07-05-08,33-35-37,07-10-07,37-35-36,07-06-06,34-38-35,18-17-14,42-48-44,16-16-13,46-50-43
14,01-02-05,34-36-35,07-06-07,35-34-36,01-01-06,34-36-35,10-05-05,42-45-44,16-18-13,46-47-43,17-13-12,41-47-42
15,10-01-06,50-43-42,01-03-06,34-33-35,10-02-05,42-43-44,18-14-14,46-46-43,17-15-12,41-46-42,17-14-11,41-48-41
16,14-18-13,48-44-41,10-04-03,50-50-42,17-17-12,48-44-41,16-13-13,41-47-42,17-16-11,41-45-41,19-17-20,45-45-50
17,12-17-15,44-41-50,14-12-12,48-49-41,12-18-11,44-44-50,17-12-12,41-48-41,19-13-20,45-44-50,18-18-19,44-46-49
18,18-16-14,43-42-43,12-11-11,44-48-50,18-15-20,49-43-49,15-19-19,45-45-48,18-14-17,44-43-49,14-17-16,48-45-46
19,14-13-13,45-49-42,18-20-14,43-44-43,13-16-13,45-42-42,19-18-18,43-46-47,14-12-16,48-48-46,12-16-15,46-46-45
20,19-12-12,43-48-41,13-19-13,45-41-42,19-13-12,43-41-41,16-17-17,48-43-46,12-11-15,46-47-45,18-13-14,42-43-44
21,17-11-11,49-45-50,17-18-12,43-42-42,17-20-11,49-50-50,19-20-20,46-44-49,18-20-18,42-46-44,17-14-17,47-44-47
22,19-20-20,44-46-49,17-17-11,49-49-50,19-17-20,44-49-49,12-19-19,42-41-48,17-19-17,47-48-43,27-21-26,53-51-56
23,18-19-19,42-43-48,19-16-20,44-50-49,18-18-19,42-48-48,17-18-18,47-50-47,27-28-26,53-55-52,27-30-25,52-60-55
24,17-18-18,47-44-47,18-15-19,42-47-48,18-15-18,48-47-47,18-17-17,51-57-56,27-27-25,51-56-51,23-27-24,53-57-54
25,18-17-17,51-51-56,18-14-18,47-48-47,17-16-17,51-56-56,27-26-26,51-58-55,23-26-24,53-53-54,28-28-23,52-58-53
26,27-26-26,51-52-55,17-13-17,51-55-56,27-23-26,51-55-55,27-25-25,53-55-54,28-25-23,52-54-53,26-25-22,52-55-52
27,27-25-23,53-59-54,27-22-26,51-56-55,27-24-25,53-52-54,23-24-24,52-56-53,26-24-22,52-51-52,21-26-21,51-55-51
28,23-24-22,52-60-53,27-21-25,53-53-54,23-21-24,52-51-53,28-23-23,52-53-52,21-23-21,51-52-51,25-23-30,51-54-60
29,28-23-21,,23-30-24,52-54-53,28-22-23,60-60-52,26-22-22,51-54-51,25-22-30,51-59-60,25-24-29,51-53-59
30,26-22-30,,28-29-23,60-51-52,26-29-22,51-59-51,22-21-21,51-51-60,25-21-29,51-60-59,27-21-28,57-52-58
31,25-25-29,,26-28-22,,21-30-21,,25-30-30,51-52-59,,57-57-58,,52-51-57
