日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,25-23-24,57-58-51,25-26-23,57-54-52,27-27-22,52-56-51,26-25-21,10-06-10,35-38-39,05-07-09,35-33-38,09-37-08
2,27-22-21,52-57-52,27-23-22,52-53-51,26-28-21,10-03-10,34-34-40,05-05-09,35-35-38,09-06-08,35-34-37,09-08-07
3,26-21-22,10-06-09,26-24-21,10-02-10,34-35-40,05-04-09,35-33-39,09-04-08,35-36-37,09-05-07,31-31-36,01-05-06
4,34-40-39,05-05-10,34-31-40,05-01-09,35-36-39,09-01-08,35-32-38,09-03-07,31-33-36,01-04-06,36-32-35,10-06-05
5,35-39-40,03-03-07,33-32-40,03-10-07,33-33-37,10-02-08,35-31-37,01-02-06,36-34-35,10-03-05,34-39-34,08-03-04
6,33-38-33,10-04-08,33-39-37,10-09-08,36-34-38,08-09-05,31-40-36,10-01-05,34-31-34,08-02-04,39-33-40,09-04-03
7,36-37-34,08-01-05,36-40-38,08-08-05,34-31-35,02-10-06,32-39-36,07-09-03,33-32-34,09-01-03,37-37-31,07-01-01
8,34-36-31,02-02-06,34-37-35,02-07-06,32-32-36,07-07-03,33-38-33,07-10-04,37-39-31,07-10-01,34-38-32,10-02-02
9,32-35-32,07-09-03,32-38-36,07-06-03,33-39-33,07-08-04,33-37-34,07-07-01,34-40-32,10-09-02,42-45-49,18-19-19
10,33-34-39,07-10-04,33-35-33,07-05-04,33-40-34,07-05-01,37-36-31,10-08-02,42-47-49,18-18-19,46-46-50,16-20-20
11,33-33-40,07-07-01,33-36-34,07-04-01,37-37-31,10-06-02,34-35-32,18-15-19,46-48-50,16-17-20,41-43-47,18-17-17
12,37-32-37,10-08-02,37-33-31,10-03-02,34-38-32,18-13-19,42-44-49,16-16-20,41-45-47,17-16-15,41-44-48,17-18-18
13,34-31-38,18-13-19,34-34-32,18-12-19,42-47-49,12-14-20,46-43-50,17-13-17,41-46-48,17-15-18,41-41-45,11-15-15
14,42-50-41,12-14-20,42-41-49,12-11-20,48-48-50,17-11-17,41-42-47,17-14-18,41-43-45,11-14-15,44-42-46,18-16-16
15,48-49-42,17-11-17,48-42-50,17-18-17,41-45-47,15-12-18,41-41-48,19-15-15,44-44-46,18-13-16,42-45-43,16-13-13
16,41-46-49,15-12-17,44-50-48,15-17-17,49-46-47,19-12-16,45-50-45,18-16-16,42-41-43,16-12-13,46-46-44,12-14-14
17,49-50-50,19-19-16,49-49-47,19-16-16,45-43-46,17-11-15,44-47-46,14-13-13,46-42-44,12-11-14,41-43-41,15-11-11
18,45-44-47,17-20-15,45-48-46,17-12-15,43-44-45,19-20-14,48-46-44,12-14-13,42-50-42,15-16-11,49-44-41,13-11-11
19,43-41-48,19-17-14,43-47-45,19-19-14,49-41-44,12-19-13,46-45-43,18-11-12,49-49-41,13-15-11,53-51-60,29-30-30
20,49-50-45,18-16-13,49-46-44,18-20-13,44-48-43,18-18-12,42-48-42,17-12-11,53-58-60,29-24-30,51-52-59,27-29-29
21,44-49-44,18-13-12,44-45-43,18-17-12,42-45-42,17-17-11,47-47-41,29-29-30,51-57-59,27-26-29,53-59-58,23-28-28
22,42-48-41,17-14-11,42-44-42,17-18-11,47-46-41,27-26-30,51-56-60,27-28-29,53-56-58,23-23-28,52-58-57,28-27-27
23,47-47-42,27-21-30,47-43-41,27-25-30,51-53-60,27-25-29,51-55-59,23-25-28,52-55-57,28-24-27,52-55-56,25-26-26
24,51-56-59,27-22-29,51-52-60,27-26-29,51-54-59,23-24-28,53-54-58,28-26-27,52-54-56,26-21-26,51-56-55,21-25-25
25,51-55-60,23-29-28,51-51-59,23-23-28,53-51-58,28-23-27,52-53-57,26-23-26,51-53-55,21-22-25,51-53-54,25-24-24
26,53-54-57,28-30-27,53-60-58,28-24-27,52-52-57,26-30-26,52-52-56,21-24-25,51-52-54,25-29-24,51-54-53,25-23-23
27,52-53-58,26-27-26,52-59-57,26-21-26,60-59-56,21-29-25,51-51-55,25-21-24,51-51-53,25-30-23,57-51-52,27-22-22
28,60-52-55,21-28-25,60-58-56,21-22-25,51-60-55,25-28-24,51-60-54,25-22-23,57-60-52,27-27-22,52-52-51,26-21-21
29,51-51-56,25-25-24,51-57-55,25-29-24,51-57-54,25-27-23,51-59-53,27-29-22,52-59-51,26-28-21,10-09-10,34-40-40
30,51-60-53,,51-56-54,25-30-23,51-58-53,27-26-22,57-58-52,26-30-21,10-08-10,34-35-40,05-10-09,35-39-39
31,51-59-54,,51-55-53,,57-55-52,,52-57-51,34-37-40,,35-36-39,,35-38-38
