日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,18-18-14,44-43-43,18-19-15,43-49-46,13-14-16,43-49-43,17-20-13,43-41-44,19-11-11,49-42-41,18-20-12,44-44-42
2,13-17-13,43-42-42,13-20-16,43-48-43,17-11-13,43-50-44,17-19-14,49-50-41,18-12-12,44-41-42,16-17-19,42-41-49
3,17-16-12,43-41-41,17-17-13,43-47-44,17-12-14,49-47-41,19-18-11,44-49-42,16-19-19,42-50-49,17-18-20,47-42-50
4,17-15-11,42-49-49,17-18-14,42-46-49,19-19-11,44-48-42,18-17-12,42-48-49,17-20-20,47-49-50,27-25-27,51-59-57
5,19-14-20,49-50-50,16-15-19,50-45-50,19-20-20,41-45-47,16-16-19,47-47-50,28-27-27,51-58-57,27-26-28,51-60-58
6,20-13-17,41-47-47,20-16-20,41-44-47,15-17-17,41-46-48,15-16-18,51-56-57,27-28-28,51-57-58,23-23-25,53-57-55
7,15-12-16,41-48-48,15-13-17,41-43-48,15-18-18,55-53-55,25-24-25,52-56-56,26-25-23,53-56-55,23-24-24,54-58-54
8,15-11-15,56-55-55,15-14-18,55-52-55,26-25-25,52-54-56,28-23-26,60-53-53,24-26-24,54-55-54,25-21-21,59-55-51
9,25-30-24,52-56-56,25-21-25,52-51-56,28-26-26,60-51-53,26-22-23,53-54-54,25-23-21,59-54-51,25-22-22,59-56-52
10,28-29-23,60-53-53,28-22-26,60-60-53,26-23-23,54-52-54,24-21-24,59-51-51,25-24-22,59-53-52,30-29-29,59-53-59
11,26-28-22,53-54-54,26-29-23,54-59-54,23-24-24,59-59-51,25-30-21,59-52-52,29-21-29,59-52-59,26-30-30,52-54-60
12,24-27-21,59-59-55,24-30-24,59-58-55,25-21-21,59-60-52,25-29-22,60-59-59,26-22-30,52-51-60,24-27-27,60-51-57
13,25-26-30,59-60-56,25-27-25,59-57-56,25-24-26,53-57-53,29-28-29,52-60-60,24-29-27,60-60-57,27-28-28,58-52-58
14,25-25-29,53-57-53,25-28-26,53-54-53,27-21-23,52-58-54,26-27-30,60-57-57,28-30-28,58-59-58,33-35-35,09-09-05
15,27-24-28,51-58-54,27-25-23,51-53-54,26-22-24,56-55-51,24-26-21,54-52-52,33-37-39,09-08-05,33-32-40,09-10-10
16,26-21-25,56-55-51,25-25-24,56-52-51,22-29-21,54-57-52,30-25-22,10-09-09,33-38-40,09-07-10,37-39-37,01-07-07
17,22-30-24,54-56-52,22-24-21,54-58-52,30-30-22,10-06-09,33-32-39,07-10-10,37-35-37,01-06-07,36-40-38,10-08-08
18,30-29-23,10-03-09,30-23-22,10-05-09,36-37-39,05-05-10,31-31-40,01-07-07,35-35-38,10-01-08,40-37-35,06-06-05
19,35-36-36,05-02-08,36-32-39,05-06-08,35-38-40,01-04-07,37-40-37,09-08-08,40-34-35,06-10-05,38-38-36,04-05-06
20,36-35-35,09-09-05,35-31-38,09-03-05,35-31-35,09-03-06,35-33-38,01-05-05,38-33-36,04-09-06,34-35-33,10-04-03
21,35-34-34,09-10-06,35-40-35,09-04-06,35-32-36,01-02-03,31-32-35,04-06-06,34-32-32,10-09-03,39-36-34,09-03-04
22,35-33-33,01-07-03,35-39-36,01-01-03,31-39-33,10-01-04,36-31-34,10-01-01,39-31-32,09-10-04,33-31-39,09-02-09
23,31-32-32,10-08-04,31-38-33,10-02-04,36-40-34,10-10-01,34-40-31,09-02-02,33-40-39,09-07-09,33-32-40,09-01-10
24,36-31-31,10-05-01,36-37-34,10-09-01,34-37-31,09-09-02,39-39-32,10-09-09,33-39-40,09-08-10,45-49-47,15-20-17
25,34-40-40,09-06-02,34-36-31,09-10-02,39-38-32,09-08-09,33-38-39,09-10-10,45-48-47,15-15-17,44-50-48,20-19-18
26,40-39-39,09-03-09,39-35-32,09-07-09,33-35-39,09-05-10,33-37-40,15-17-17,44-47-48,20-16-18,44-47-45,18-18-15
27,33-38-38,09-04-10,33-34-39,09-08-10,33-36-40,15-14-17,45-46-47,20-18-18,44-46-45,18-13-15,43-48-46,13-17-16
28,33-37-37,15-11-17,33-33-40,15-15-17,45-43-47,20-13-18,44-45-48,18-15-15,43-45-46,13-14-16,43-45-43,17-16-13
29,45-46-46,20-12-18,45-42-47,20-16-18,44-44-48,18-12-15,42-44-45,13-16-16,43-44-43,17-11-13,43-46-44,17-15-14
30,44-45-45,,44-41-48,18-13-15,42-41-45,13-11-16,43-43-46,17-13-13,43-43-44,17-12-14,49-43-41,19-14-11
31,42-44-44,,42-50-45,,43-42-46,,43-42-43,17-14-14,,19-19-11,,18-13-12
