日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,25-24-22,51-59-51,21-28-22,51-56-59,25-29-29,51-58-60,25-27-30,57-58-57,26-30-28,52-59-58,34-35-35,10-09-05
2,25-23-21,57-58-60,25-25-29,51-55-60,25-30-30,57-55-57,27-26-27,52-57-58,34-37-35,10-08-05,35-36-36,05-10-06
3,27-22-30,52-57-59,25-26-30,57-54-57,28-27-27,52-56-58,26-25-28,10-06-05,35-38-36,05-07-06,35-33-33,09-07-03
4,26-21-29,09-05-08,27-23-27,52-53-58,26-28-28,10-03-05,34-34-35,05-05-06,35-35-33,09-06-03,35-34-34,09-08-04
5,33-40-37,09-06-07,28-28-29,09-02-08,34-35-35,05-04-06,35-33-36,09-04-03,35-36-34,09-05-04,32-31-31,01-05-01
6,33-39-38,03-03-06,33-31-38,09-01-07,33-36-37,03-01-06,35-32-33,09-03-04,31-33-31,01-04-01,36-32-32,10-06-02
7,33-38-35,10-04-05,33-32-37,03-10-06,33-33-36,10-02-05,36-31-35,01-02-01,36-34-32,10-03-02,33-39-32,07-03-02
8,36-37-36,08-01-04,33-39-36,10-09-05,36-34-35,08-09-04,34-40-34,02-02-03,33-31-32,07-02-02,33-40-31,07-04-01
9,34-36-33,02-02-03,36-40-35,08-08-04,34-31-34,02-10-03,32-39-33,07-09-02,33-32-31,07-01-01,37-37-40,07-01-10
10,32-35-34,07-09-02,34-37-34,02-07-03,32-32-33,07-07-02,33-38-32,07-10-01,37-39-40,07-10-10,34-38-39,10-02-09
11,33-34-31,07-10-01,32-38-33,07-06-02,33-39-32,07-08-01,33-37-31,07-07-10,34-40-39,10-09-09,42-45-48,18-19-18
12,33-33-32,01-05-10,33-35-32,07-05-01,33-40-31,07-05-10,37-36-40,10-08-09,42-47-48,17-18-18,46-46-47,16-20-17
13,35-32-39,10-36-31,33-36-31,01-04-10,37-37-40,10-06-09,34-35-39,18-15-18,46-48-47,16-17-17,41-43-46,17-17-16
14,34-31-40,14-13-14,35-33-40,10-03-09,34-40-39,18-13-18,42-44-48,16-16-17,41-45-46,17-16-16,41-44-45,17-18-15
15,50-48-47,12-14-13,34-34-39,14-20-14,42-47-48,12-14-17,48-43-47,17-13-16,41-46-45,17-15-15,45-47-44,19-15-14
16,48-47-47,18-11-12,50-41-44,12-19-13,48-48-43,17-11-12,41-42-46,17-18-15,45-43-44,19-14-14,44-48-43,18-16-13
17,44-46-46,13-12-14,48-41-43,18-18-12,44-45-42,15-13-11,49-49-41,19-15-14,44-44-43,18-13-13,48-45-48,14-13-18
18,43-43-45,19-19-11,44-50-42,13-14-14,49-46-41,19-12-20,45-48-50,18-16-19,48-41-48,14-18-18,46-46-47,12-13-17
19,45-42-44,17-18-12,43-49-44,19-11-11,45-43-41,17-11-12,43-47-49,14-13-18,46-41-47,12-17-17,42-43-46,18-12-16
20,43-41-43,19-15-19,45-48-41,17-12-12,43-44-42,19-20-19,49-50-49,12-14-17,41-50-46,18-16-16,47-44-48,17-11-18
21,49-50-42,18-16-20,43-47-42,20-19-19,49-47-49,18-19-20,46-49-50,18-11-17,47-49-48,17-18-18,53-51-55,29-30-25
22,44-49-41,18-13-17,49-46-49,18-20-20,44-48-50,18-18-17,42-48-47,17-12-18,53-58-55,29-25-25,51-60-56,27-29-26
23,42-48-50,17-14-18,44-45-50,18-17-17,42-45-47,17-17-18,47-47-48,27-27-25,51-57-56,27-26-26,53-57-53,23-28-23
24,47-47-49,27-21-25,42-44-47,17-18-18,47-46-48,27-26-25,51-56-55,27-28-26,53-56-53,24-23-23,52-58-54,28-27-24
25,51-56-58,27-22-26,47-43-48,27-25-25,51-53-55,27-25-26,51-55-56,23-25-23,52-55-54,28-24-24,52-55-51,26-26-21
26,51-55-57,23-29-23,51-52-55,27-26-26,51-54-56,23-24-23,53-54-53,28-26-24,52-54-51,26-21-21,51-56-52,21-25-22
27,53-54-56,28-30-24,51-51-56,24-23-23,53-51-53,28-21-24,52-53-54,26-23-21,51-53-52,21-22-22,51-53-59,25-24-29
28,52-53-55,26-27-21,53-60-53,28-24-24,52-52-54,26-30-21,60-52-51,21-24-22,51-52-59,25-29-29,51-54-60,25-23-30
29,60-52-54,,52-59-54,26-21-21,60-59-51,21-29-22,51-51-52,25-21-29,51-51-60,25-30-30,57-51-57,27-22-27
30,51-51-53,,60-58-51,21-22-22,51-60-52,25-28-29,51-60-59,25-22-30,57-60-57,28-27-27,52-52-58,26-21-28
31,51-60-52,,51-57-52,,51-57-59,,51-59-60,27-29-27,,26-28-28,,34-40-35
