日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,36-35-31,08-10-10,31-37-37,10-07-08,36-32-38,08-07-05,34-38-35,09-09-06,33-39-33,09-10-03,33-38-34,09-02-04
2,34-34-40,10-09-09,36-38-38,08-06-05,34-39-35,09-08-06,39-37-36,09-08-03,33-40-34,09-09-04,45-45-41,15-19-11
3,39-33-39,09-08-08,34-35-35,09-05-06,39-40-36,09-05-03,33-36-33,09-07-04,45-47-41,15-18-11,44-46-42,20-20-12
4,33-32-38,10-08-08,39-36-36,09-04-03,33-37-33,09-06-04,33-35-34,15-16-11,44-48-42,20-17-12,42-43-49,18-17-19
5,33-31-37,18-15-15,34-33-33,10-03-08,33-38-34,15-13-11,45-44-41,20-15-12,42-45-49,18-16-19,43-44-50,13-18-20
6,42-50-50,15-16-16,34-34-38,18-12-15,42-45-45,16-14-16,44-43-42,18-14-19,43-46-50,13-15-20,43-41-47,17-15-17
7,46-49-49,17-13-13,42-41-45,16-11-16,45-46-46,17-11-13,41-42-43,13-13-20,43-43-47,17-14-17,43-42-48,18-16-12
8,41-48-48,17-14-14,46-42-46,17-20-13,41-43-43,17-12-14,41-41-44,12-11-11,44-44-42,17-13-18,42-49-49,16-13-19
9,41-47-47,12-11-11,41-49-43,17-19-14,41-44-44,11-19-11,41-50-41,18-12-12,42-41-49,16-12-19,49-50-50,20-14-20
10,41-46-46,18-12-12,41-50-44,11-18-11,42-41-41,18-20-12,44-49-42,16-19-19,50-42-50,20-11-20,41-47-47,15-11-17
11,44-45-45,16-19-19,41-47-41,18-17-12,44-42-42,15-17-19,42-48-49,19-20-20,41-49-47,15-20-17,41-48-48,15-12-18
12,42-44-44,12-18-18,44-48-42,16-16-19,42-49-49,20-18-20,50-47-50,15-17-17,41-50-48,15-19-18,56-55-55,25-29-25
13,50-43-43,16-15-15,42-45-49,12-15-18,49-50-50,15-15-17,41-46-47,15-18-18,55-57-55,25-28-25,52-56-56,28-30-26
14,41-42-42,13-16-16,46-46-48,15-14-15,41-49-45,15-16-16,41-45-48,26-25-25,52-58-56,28-27-26,60-53-53,26-27-23
15,42-41-41,29-23-23,41-43-45,13-11-16,41-50-46,29-23-23,53-54-53,28-26-26,60-55-53,26-26-23,53-54-54,30-28-22
16,53-58-58,27-24-24,49-44-46,29-30-23,53-57-53,28-24-24,52-53-54,26-27-21,56-56-52,24-25-24,59-57-59,25-25-29
17,51-57-57,23-21-21,53-52-53,27-29-24,51-58-54,22-24-21,58-60-51,30-28-22,59-53-59,25-24-29,59-58-60,23-26-30
18,58-56-56,30-22-22,51-51-54,23-23-21,58-55-51,30-23-22,56-59-52,25-25-29,57-54-60,25-23-30,53-55-57,27-24-27
19,56-53-53,26-27-27,53-60-51,30-24-22,56-56-52,26-22-29,52-58-59,23-26-30,53-52-57,27-28-27,51-56-58,25-23-28
20,51-52-52,21-28-28,56-59-52,26-21-27,52-53-59,21-21-30,51-51-60,27-23-27,51-51-58,25-27-28,56-53-55,27-22-25
21,52-51-51,26-25-25,52-58-57,21-22-28,51-60-58,25-30-25,53-60-57,25-24-28,57-60-55,22-26-25,54-54-56,30-21-26
22,51-60-60,25-26-26,51-57-58,25-29-25,51-57-55,25-29-26,51-59-56,27-21-25,54-59-56,30-28-26,10-01-03,36-40-31
23,51-59-59,27-23-23,51-56-55,25-30-26,51-58-56,27-28-23,57-58-53,26-30-24,10-08-01,36-35-33,05-10-02,35-39-32
24,57-58-58,26-24-24,51-55-56,27-27-23,57-55-53,26-27-24,52-57-54,36-37-31,05-07-02,35-36-32,09-07-09,35-38-39
25,52-57-57,34-31-31,57-54-53,26-28-24,52-56-54,36-36-31,10-06-01,35-38-32,09-06-09,35-33-39,09-08-10,35-37-40
26,10-06-06,35-32-32,52-53-54,34-35-31,10-03-01,35-35-32,05-05-02,35-35-39,09-05-10,35-34-40,01-05-07,31-36-37
27,06-05-05,35-39-39,10-02-01,35-36-32,05-04-02,35-32-39,09-04-09,35-36-40,01-04-07,31-31-37,10-06-08,36-35-38
28,09-04-04,3540-40-,05-01-02,35-33-39,09-01-09,35-31-40,09-03-10,31-33-37,10-03-08,36-32-38,10-03-05,34-34-35
29,09-03-03,,09-10-09,35-34-40,09-02-10,31-40-37,01-02-07,36-34-38,08-02-05,34-39-35,09-04-06,39-33-36
30,01-02-02,,09-09-10,31-31-37,01-09-07,36-39-38,10-01-08,34-31-35,09-01-06,39-40-36,09-01-03,33-32-33
31,10-01-01,,01-08-07,,10-10-08,,08-10-05,39-32-36,,33-37-33,,33-31-34
