日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,09-02-05,33-37-36,09-06-07,33-34-36,09-07-06,33-36-35,09-05-05,45-46-44,20-18-13,44-47-43,18-13-12,42-47-42
2,09-01-06,45-46-43,09-03-06,33-33-35,09-08-05,45-43-44,15-14-14,44-45-43,18-15-12,42-46-42,13-14-11,43-48-41
3,15-20-13,44-45-44,09-04-05,45-42-44,15-15-14,44-44-43,20-13-13,42-44-42,13-16-11,43-45-41,17-11-20,43-45-50
4,20-19-14,41-43-41,15-11-14,44-41-43,20-16-13,42-41-42,18-12-12,43-43-41,17-13-20,43-44-50,17-12-19,43-46-49
5,17-18-13,41-44-42,20-12-13,41-50-41,17-13-11,43-42-41,13-11-11,43-42-50,17-14-19,43-43-49,19-19-18,49-43-48
6,17-17-14,41-41-49,17-19-11,41-49-42,17-14-12,41-49-49,17-20-20,43-41-49,19-11-18,49-42-48,18-20-17,44-44-47
7,11-16-11,44-42-50,17-20-12,41-48-49,11-11-19,44-50-50,18-19-20,42-49-47,18-12-17,44-41-47,15-17-15,41-41-45
8,18-15-12,42-49-47,11-17-19,44-47-50,18-12-20,42-47-47,16-18-17,50-50-48,15-19-15,41-50-45,15-18-16,41-42-46
9,16-14-19,50-50-48,18-18-20,42-46-47,16-19-17,50-48-48,20-17-18,41-47-45,15-20-16,41-49-46,25-25-23,55-59-53
10,20-13-20,41-47-45,16-15-17,50-45-48,20-20-18,41-45-45,15-16-15,41-48-46,25-27-23,55-58-53,28-26-24,52-60-54
11,15-12-17,41-48-46,20-16-18,41-44-45,15-17-15,41-46-46,15-15-16,55-55-53,28-28-24,52-57-54,26-23-21,60-57-51
12,15-11-18,54-53-53,15-13-15,41-43-46,15-18-16,55-53-53,25-24-23,52-56-54,26-25-21,60-56-51,24-24-22,54-58-52
13,29-30-27,52-54-54,15-14-16,53-52-53,29-27-23,52-54-54,28-23-24,60-53-51,24-26-22,54-55-52,25-21-29,59-55-59
14,28-29-28,58-51-51,29-21-23,52-51-54,28-28-24,60-51-51,26-22-21,54-54-52,25-23-29,59-54-59,25-22-30,59-56-60
15,22-26-25,56-52-53,28-22-24,58-58-51,22-25-21,56-52-52,30-21-22,59-55-59,25-24-30,59-53-60,27-25-27,53-53-57
16,30-25-26,52-59-52,22-29-21,56-57-53,30-26-23,60-59-59,25-30-29,59-56-60,27-21-27,53-52-57,26-26-28,52-54-58
17,26-24-23,51-60-51,30-29-23,52-56-52,26-23-22,57-51-51,23-27-30,53-53-57,26-22-28,52-51-58,22-23-25,56-51-55
18,21-21-24,53-57-60,26-28-22,51-52-51,21-24-21,53-60-60,27-26-30,51-54-59,22-29-25,56-56-55,30-24-27,54-51-57
19,27-30-21,51-56-59,21-27-21,53-59-60,27-21-30,51-59-59,25-25-29,56-51-58,30-29-27,54-55-57,36-31-36,10-10-06
20,25-29-28,57-53-58,27-26-30,51-60-59,25-28-29,57-58-58,27-28-28,54-52-57,36-38-36,10-04-06,35-32-35,05-09-05
21,27-28-25,52-54-57,25-25-29,57-57-58,27-25-28,52-57-57,30-27-27,10-09-06,35-37-35,05-06-05,37-39-34,01-08-04
22,26-27-26,10-01-06,27-24-28,52-58-57,26-26-27,10-06-06,35-36-36,05-08-05,37-36-34,01-03-04,35-38-33,09-07-03
23,36-36-33,05-02-05,26-23-27,10-05-06,36-33-36,06-05-05,36-35-35,09-05-04,35-35-33,09-04-03,31-35-32,01-06-02
24,35-35-34,09-09-04,36-32-36,05-06-05,35-34-35,09-04-04,35-34-34,09-06-03,31-34-32,01-01-02,36-36-31,10-05-01
25,35-34-31,09-10-01,35-31-35,09-03-04,35-31-34,09-03-03,35-33-33,01-03-02,36-33-31,10-02-01,34-33-40,10-04-10
26,35-33-32,01-07-10,35-40-34,09-04-01,35-32-31,01-02-02,31-32-32,10-04-01,34-32-40,10-09-10,39-34-39,09-03-09
27,31-32-39,10-08-09,35-39-31,01-01-10,31-39-40,10-09-09,36-31-39,10-01-10,39-31-39,09-10-09,33-31-38,09-02-08
28,36-31-40,08-05-08,31-38-40,10-02-09,36-40-39,07-08-08,34-40-38,09-02-07,33-40-38,09-07-08,33-32-35,09-01-05
29,34-40-37,,36-37-39,08-09-08,34-37-38,09-07-07,39-39-37,09-09-06,33-39-35,09-08-05,45-49-44,15-20-14
30,39-39-38,,34-36-38,09-10-07,39-38-37,09-06-06,33-38-36,09-10-05,45-48-44,15-15-14,44-50-43,20-19-13
31,33-38-35,,39-35-37,,33-35-36,,33-37-35,15-17-14,,20-16-13,,18-18-12
