日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,10-10-06,36-35-35,10-01-07,35-31-38,05-06-08,35-31-35,09-02-05,35-33-36,01-03-03,31-34-33,10-02-04,36-36-34
2,05-09-05,35-34-34,05-02-08,35-38-35,09-03-05,35-32-36,09-01-06,31-32-33,10-04-04,36-33-34,08-09-01,34-33-31
3,09-08-04,35-33-33,09-09-05,35-39-36,09-04-06,31-39-33,01-10-03,36-31-34,08-01-01,34-32-31,09-10-02,39-34-32
4,09-07-03,31-32-32,09-10-06,31-38-33,01-01-03,36-40-34,10-09-04,34-40-31,09-02-02,39-31-32,09-07-09,33-31-39
5,01-06-02,31-32-32,01-07-03,32-37-32,10-02-04,34-37-31,08-08-01,39-39-32,10-09-09,33-40-39,09-08-10,33-32-40
6,02-05-09,33-39-39,02-08-02,33-36-39,07-09-09,33-38-40,09-08-10,33-38-39,09-10-10,33-39-40,15-15-17,45-49-47
7,07-04-08,33-40-40,07-05-09,33-35-40,07-10-10,37-35-37,07-06-07,34-35-38,15-17-17,45-48-47,15-16-16,46-50-46
8,07-03-07,38-37-37,07-06-10,37-34-37,08-07-07,34-36-38,10-05-08,42-45-45,16-18-16,46-47-46,17-13-13,41-47-43
9,07-02-06,34-38-38,07-03-07,34-33-38,10-08-08,42-43-45,18-14-15,45-46-46,17-15-13,41-46-43,17-14-14,41-48-44
10,10-02-05,42-45-45,10-04-08,42-42-45,18-15-15,46-44-46,16-13-16,41-43-43,17-16-14,41-45-44,12-11-11,41-45-41
11,18-19-14,45-46-46,18-11-15,46-41-46,15-16-16,41-41-43,17-12-13,41-44-44,11-13-11,41-44-41,18-12-12,44-46-42
12,16-19-13,41-43-43,16-12-16,41-50-43,17-13-13,41-42-44,17-11-14,42-41-41,18-14-12,44-43-42,16-19-19,42-43-49
13,17-18-12,41-42-48,17-19-13,41-49-48,17-14-14,41-49-41,11-20-11,44-42-42,16-11-19,42-42-49,19-20-20,50-44-50
14,17-17-11,45-49-45,17-20-18,45-48-45,19-13-15,44-50-46,18-19-12,42-49-49,20-12-20,50-41-50,15-17-17,41-41-47
15,19-16-20,44-50-46,19-17-15,44-45-46,18-14-16,42-47-43,16-18-13,49-50-50,15-19-17,41-50-47,15-14-12,41-42-42
16,18-13-17,48-47-43,18-18-16,48-44-43,14-11-13,46-48-44,12-17-14,42-41-41,15-20-12,41-49-42,29-21-29,53-59-59
17,14-15-16,46-48-44,14-16-13,46-43-44,12-12-14,42-48-41,15-14-11,41-42-42,29-27-29,53-58-59,28-22-30,52-60-60
18,12-11-15,42-45-41,12-15-14,42-47-41,18-19-11,49-47-42,13-13-12,53-59-59,28-28-30,52-53-60,22-29-27,58-58-57
19,17-18-18,47-46-42,18-14-11,47-45-42,17-19-12,53-56-59,29-22-29,51-60-60,22-26-27,58-52-57,30-30-28,56-57-58
20,18-17-17,51-51-57,17-13-12,51-55-57,29-27-29,51-55-60,27-25-30,58-57-57,30-25-28,56-51-58,26-27-25,52-56-55
21,27-26-26,51-52-58,27-22-27,51-56-58,27-24-28,53-54-55,23-24-27,56-58-58,26-27-25,52-51-55,21-28-26,51-55-56
22,27-25-25,53-59-55,27-21-28,53-53-55,23-21-25,52-53-56,28-23-26,52-55-55,21-23-26,51-52-56,25-23-21,51-54-51
23,23-24-24,51-60-56,23-28-25,52-54-56,28-22-26,52-52-53,26-22-23,51-54-54,25-22-21,51-59-51,25-24-22,51-53-52
24,28-23-23,59-57-53,28-29-26,52-51-53,26-29-23,51-51-54,21-21-24,52-51-51,25-21-22,51-60-52,27-21-29,57-52-59
25,26-22-22,51-58-54,26-28-23,51-52-54,21-30-24,51-60-51,25-30-21,51-52-52,27-30-29,57-57-59,26-22-30,52-51-60
26,22-21-21,51-55-51,21-27-24,51-59-51,25-27-21,51-59-52,25-29-22,57-59-59,26-29-30,52-58-60,36-39-37,10-10-07
27,25-30-30,51-56-52,25-26-21,51-60-52,25-28-22,57-56-59,27-28-29,52-60-60,36-38-37,10-05-07,35-40-38,05-09-08
28,25-29-29,57-53-59,25-25-22,57-57-59,27-25-29,52-55-60,26-27-30,10-07-07,35-37-38,06-06-08,36-37-35,09-08-05
29,27-28-28,52-54-60,27-24-29,52-58-60,26-26-30,10-04-07,34-36-37,05-08-08,35-36-35,09-03-05,35-38-36,09-07-06
30,26-27-27,,26-23-30,10-05-07,34-33-37,05-03-08,35-35-38,09-05-05,35-35-36,09-04-06,31-35-33,01-06-03
31,34-36-36,,34-32-37,,35-34-38,,35-34-35,09-06-06,,01-01-03,,10-05-04
