日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,17-15-11,49-50-50,17-18-14,49-46-41,19-19-11,44-48-42,18-17-12,42-48-49,17-20-20,47-49-50,27-25-27,51-59-57
2,19-14-20,44-49-49,19-15-11,44-45-42,18-20-12,42-45-49,16-16-19,47-47-50,28-27-27,51-58-57,27-26-28,51-60-58
3,18-13-19,42-48-48,18-16-12,42-44-49,16-17-19,47-46-50,17-15-20,51-56-57,27-28-28,51-57-58,23-23-25,53-57-55
4,16-12-18,41-48-48,16-13-19,41-43-48,17-18-20,51-53-57,27-24-27,51-55-58,23-25-25,53-56-55,28-24-26,52-58-56
5,17-11-17,56-55-55,15-14-18,55-52-55,26-25-25,52-54-56,27-23-28,53-54-55,28-26-26,52-55-56,26-21-23,60-55-53
6,25-30-24,52-56-56,25-21-25,52-51-56,28-26-26,60-51-53,26-21-23,52-53-56,26-23-23,60-54-53,21-22-24,51-56-54
7,28-29-23,60-53-53,28-22-26,60-60-53,26-23-23,54-52-54,24-21-24,59-51-51,25-24-22,51-53-54,30-29-29,59-53-59
8,26-28-22,53-54-54,26-29-23,54-59-54,23-24-24,59-59-51,25-30-21,59-52-52,29-21-29,59-52-59,26-30-30,52-54-60
9,24-27-21,59-51-51,24-30-24,59-58-51,25-21-21,59-60-52,25-29-22,60-59-59,26-22-30,52-51-60,24-27-27,60-51-57
10,25-26-30,59-52-52,25-27-21,59-57-52,25-22-22,59-57-59,29-28-29,52-60-60,24-29-27,56-60-57,27-28-28,58-52-58
11,25-25-29,60-59-59,25-28-22,59-56-59,30-29-29,52-58-60,26-27-30,60-57-57,28-30-28,58-59-58,33-35-35,09-09-05
12,29-24-28,52-58-54,29-25-29,52-55-54,26-30-30,60-55-57,24-26-27,57-58-58,33-37-35,09-08-05,33-36-36,09-10-06
13,26-23-27,60-55-51,26-26-24,60-54-51,24-29-21,54-56-52,28-25-28,09-05-05,33-38-36,09-07-06,34-33-33,03-07-03
14,24-22-26,54-56-52,24-23-21,54-51-52,30-30-22,09-03-09,33-34-35,09-06-06,33-35-33,03-06-03,36-34-34,10-08-04
15,30-21-25,10-03-09,30-24-22,10-10-09,33-37-39,07-04-10,33-33-40,01-07-07,36-36-38,10-05-04,34-37-35,08-05-05
16,33-38-32,07-04-10,36-32-39,07-09-10,31-38-40,01-04-07,37-32-37,10-08-08,34-33-35,08-04-05,38-38-36,04-06-06
17,31-37-31,01-01-07,31-31-40,01-03-07,37-35-37,09-03-08,36-39-38,06-05-05,38-34-36,04-03-06,33-35-33,07-03-03
18,37-36-40,09-02-08,37-40-37,09-04-08,35-36-38,01-02-05,40-38-35,04-06-06,34-32-33,07-08-03,31-36-34,05-03-04
19,35-33-33,01-07-03,35-39-38,01-01-03,31-33-35,04-01-06,38-37-36,10-03-03,31-31-34,05-07-04,35-33-31,01-02-01
20,31-32-32,10-08-04,31-38-33,10-02-04,36-40-34,10-10-01,34-40-33,09-04-04,35-40-31,01-06-01,33-34-32,09-01-02
21,36-31-31,10-05-01,36-37-31,10-09-01,34-37-31,09-09-02,39-39-34,02-01-01,33-39-32,09-08-02,45-41-49,15-20-19
22,34-40-40,09-06-02,34-36-31,09-10-02,39-38-32,09-08-09,33-38-39,09-10-10,45-48-47,15-15-19,44-50-48,20-19-18
23,40-39-39,09-03-09,39-35-32,09-07-09,33-35-39,09-07-10,33-37-40,15-17-17,44-47-48,20-16-18,44-47-45,18-18-15
24,33-38-38,09-04-10,33-34-39,09-08-10,33-36-40,15-16-17,45-46-47,20-18-18,44-46-45,18-13-15,43-48-46,13-17-16
25,33-37-37,15-11-17,33-33-40,15-15-17,45-43-47,20-15-18,44-45-48,18-15-15,43-45-46,13-14-16,43-45-43,17-16-13
26,45-46-46,20-12-18,45-42-47,20-16-18,44-44-48,18-12-15,44-44-45,13-16-16,43-44-43,17-11-13,43-46-44,17-15-14
27,44-45-45,18-19-15,44-41-48,18-13-15,42-41-45,13-11-16,43-43-46,17-13-13,43-43-44,17-12-14,49-43-41,19-14-11
28,42-44-44,13-20-16,42-50-45,13-14-16,43-42-46,17-20-13,43-42-43,17-14-14,49-42-41,19-19-11,44-44-42,18-13-12
29,44-43-43,17-17-13,43-49-46,17-11-13,43-49-43,17-19-14,43-41-44,19-11-11,44-41-42,18-20-12,42-41-49,16-12-19
30,43-42-42,,43-48-43,17-12-14,43-50-44,19-18-11,49-50-41,18-12-12,42-50-49,16-17-19,47-42-50,17-11-20
31,43-41-41,,43-47-44,,49-47-41,,44-49-42,16-19-19,,17-18-20,,27-30-27
