日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,51-59-51,23-24-30,51-52-56,23-30-23,54-53-53,28-22-24,52-51-54,26-22-21,51-54-52,21-23-22,51-59-59,25-23-29
2,58-58-60,28-23-29,53-59-53,28-29-24,52-54-54,26-29-21,60-60-51,21-21-22,51-51-59,25-22-29,51-60-60,25-24-30
3,52-57-59,26-22-28,52-60-54,26-28-21,60-51-51,21-30-22,51-59-52,25-30-29,51-52-60,25-21-30,58-57-57,27-21-27
4,60-56-58,25-22-27,60-57-51,25-27-27,51-52-52,25-27-29,51-58-59,25-29-30,57-59-57,27-30-27,52-58-58,26-22-28
5,51-55-57,29-29-26,59-58-57,29-26-26,59-59-56,26-28-25,51-57-60,27-28-27,52-60-58,26-29-28,10-05-05,34-39-35
6,59-54-55,26-30-25,59-55-56,26-25-25,52-60-55,24-25-24,60-55-54,26-27-28,10-07-05,34-38-35,05-06-06,35-40-36
7,52-53-56,24-27-24,52-56-55,23-24-24,60-57-54,28-26-23,58-55-53,33-35-32,09-08-01,35-37-36,03-03-10,33-27-40
8,60-52-53,28-28-23,60-53-54,28-23-23,58-58-53,33-33-32,09-04-02,39-36-31,03-05-10,33-36-40,10-04-09,36-38-39
9,58-51-54,33-35-32,58-54-53,33-32-32,09-05-02,33-34-31,09-03-01,33-33-40,10-06-09,36-35-39,08-01-08,34-35-38
10,09-10-01,33-36-31,09-01-02,33-31-31,09-06-01,33-31-40,03-02-10,36-34-39,08-03-08,34-34-38,02-02-07,32-36-37
11,09-09-02,33-33-40,09-02-01,33-40-40,03-03-10,36-32-39,10-01-09,34-31-38,02-04-07,32-33-37,07-09-06,33-33-36
12,03-08-09,36-32-39,03-09-10,36-39-39,10-04-09,34-39-38,08-10-08,32-32-37,07-01-06,33-32-36,07-10-05,33-34-35
13,10-07-10,34-39-38,10-10-09,34-38-38,08-03-08,38-40-37,02-09-07,33-39-36,07-02-05,33-31-35,07-07-04,37-31-34
14,08-06-07,38-40-35,08-07-08,38-35-35,04-04-07,33-37-36,07-08-06,33-40-35,07-09-04,37-40-34,10-08-03,34-32-33
15,04-05-08,34-37-34,04-08-05,33-34-34,07-01-04,31-38-33,07-07-05,35-31-34,10-10-03,34-39-33,18-11-12,42-49-42
16,07-02-05,31-38-33,10-06-04,31-33-33,05-02-03,35-38-32,01-06-04,34-32-33,18-17-12,42-48-42,12-12-11,48-50-41
17,05-01-05,35-35-37,05-05-03,35-37-37,01-09-02,33-37-31,10-03-01,50-49-50,12-18-19,48-47-41,17-19-18,41-47-48
18,01-10-04,33-36-38,01-04-07,33-38-38,09-10-08,45-46-45,14-12-20,48-50-49,18-16-18,41-42-48,15-20-17,49-47-47
19,09-07-03,45-41-45,09-03-08,46-45-45,15-17-15,48-45-46,12-11-19,44-47-48,15-15-17,49-41-47,19-17-16,45-46-46
20,15-16-12,44-42-46,15-12-15,44-46-46,20-14-16,44-44-43,18-14-13,43-48-44,19-14-11,45-50-46,17-18-12,43-45-42
21,20-15-11,44-49-43,20-11-16,44-43-43,18-11-13,43-43-44,13-13-14,45-45-41,17-13-12,43-42-42,19-15-19,49-44-49
22,18-14-20,43-50-44,18-20-13,43-44-44,13-12-14,43-42-41,17-12-11,43-44-42,19-12-19,50-49-49,18-14-20,44-43-50
23,13-13-19,43-47-41,13-19-14,43-41-41,17-19-11,43-41-42,17-11-12,49-41-49,18-11-20,44-50-50,18-11-17,42-42-47
24,17-12-18,43-48-42,17-18-11,43-42-42,17-20-12,49-50-49,19-20-19,44-42-50,18-20-17,42-47-47,17-12-18,47-41-48
25,17-11-17,49-45-49,17-17-12,50-49-49,19-17-19,44-49-50,18-19-20,42-49-47,17-19-18,47-48-48,27-29-25,51-60-55
26,19-20-16,44-46-50,19-16-19,44-50-50,18-18-20,42-46-47,18-18-17,47-50-48,27-28-25,51-55-55,27-30-26,51-59-56
27,18-19-15,42-43-47,18-15-20,42-47-47,16-15-17,47-45-48,17-17-18,51-57-55,27-27-26,51-56-56,23-27-23,53-58-53
28,16-18-14,47-44-48,16-14-17,47-48-48,17-16-18,51-54-55,27-26-25,51-58-56,23-26-23,54-53-53,28-28-24,52-57-54
29,17-17-13,51-51-55,17-13-18,51-55-55,27-23-25,51-53-56,27-25-26,53-55-53,28-25-24,52-54-54,26-25-21,60-56-51
30,27-26-22,,27-22-25,51-56-56,27-24-26,53-52-53,23-24-23,52-56-54,26-24-21,60-51-51,21-26-22,51-55-52
31,27-25-21,,27-21-26,,23-21-23,,28-23-24,60-53-51,,51-52-52,,51-54-59
