日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,35-37-37,01-02-06,35-39-34,09-09-03,35-34-33,01-09-02,31-40-32,10-01-01,34-31-40,08-02-10,39-40-39,09-04-09
2,31-36-36,10-01-05,35-40-33,01-08-02,31-31-32,10-10-01,36-39-31,08-10-10,39-32-39,09-01-09,33-37-38,09-01-08
3,36-35-35,08-10-04,31-37-32,10-07-01,36-32-31,08-07-10,34-48-40,10-09-09,33-39-38,09-10-08,33-38-37,09-02-07
4,33-34-34,07-10-03,36-38-31,08-06-10,34-39-40,09-08-09,39-37-39,09-08-08,33-40-37,09-09-07,45-45-46,15-19-16
5,33-33-34,07-07-02,34-35-40,07-05-03,39-40-39,09-05-08,33-36-38,09-07-07,45-47-46,15-18-16,44-46-45,20-20-15
6,37-32-31,10-08-01,33-36-33,07-04-02,37-37-32,10-06-01,33-35-37,15-16-16,44-48-45,20-17-15,42-43-44,18-17-14
7,34-31-32,18-15-20,37-33-32,10-31-01,34-38-31,18-13-20,42-44-50,20-15-15,42-45-44,18-16-14,41-44-47,17-18-17
8,42-50-49,16-16-19,34-34-31,18-12-20,42-45-50,16-14-19,46-43-49,17-13-18,41-46-47,17-15-17,41-41-46,11-15-16
9,46-49-50,17-13-18,42-41-50,16-11-19,46-46-49,17-11-18,41-42-48,17-14-17,41-43-46,11-14-16,44-42-45,18-16-15
10,41-48-47,17-14-17,46-42-49,17-20-18,41-43-48,17-12-17,41-41-47,11-11-16,44-44-45,18-13-15,42-49-44,16-13-14
11,41-47-48,11-11-16,41-49-48,17-19-17,41-44-47,11-19-16,41-50-46,18-12-15,42-41-44,16-12-14,50-50-43,20-14-13
12,41-46-45,18-20-15,41-50-47,11-18-16,41-41-46,18-20-15,44-49-45,16-19-14,50-42-43,20-11-13,41-47-42,15-11-12
13,44-45-46,16-17-14,41-47-46,18-17-15,44-42-45,16-17-14,42-48-44,20-20-13,41-49-42,15-20-12,41-48-41,15-12-11
14,42-44-43,12-18-11,44-48-45,16-16-14,42-41-44,12-18-13,50-47-43,15-17-12,41-50-41,15-19-11,55-55-60,25-29-30
15,46-41-44,18-15-20,42-45-44,12-13-11,46-42-43,15-15-12,41-46-42,15-18-11,55-57-60,25-28-30,52-52-59,28-30-29
16,42-50-42,13-16-19,46-46-41,18-12-20,41-49-50,13-16-19,41-45-41,29-29-30,52-58-59,28-27-29,60-59-58,26-27-28
17,49-49-41,29-23-26,42-44-50,13-11-19,49-50-49,29-26-28,53-52-58,28-30-29,60-55-58,26-26-28,56-60-55,30-28-25
18,53-56-60,27-24-25,49-43-49,29-25-26,53-57-58,27-25-27,51-51-57,22-27-26,56-56-55,30-21-25,52-57-54,26-26-24
19,51-55-59,23-29-24,53-52-56,27-26-25,51-58-55,23-24-24,58-60-56,30-28-25,52-54-54,26-30-24,57-58-53,23-25-23
20,53-54-58,28-30-23,51-51-55,23-23-24,53-55-54,30-23-23,56-53-53,26-25-24,57-53-53,23-29-23,53-55-60,27-24-30
21,52-53-57,26-27-22,53-60-54,28-24-23,52-52-53,26-22-22,51-52-52,21-26-21,53-52-60,27-29-30,51-56-59,25-23-29
22,52-52-56,21-28-21,52-59-53,26-21-22,52-59-52,22-21-21,52-51-51,27-23-30,51-51-59,25-30-29,57-51-58,27-22-28
23,51-51-55,25-25-30,52-58-52,21-22-21,51-60-51,22-30-30,51-60-60,25-22-29,57-60-58,27-27-28,52-52-57,26-21-27
24,51-60-54,25-26-29,51-57-51,25-29-30,51-57-60,25-29-29,51-59-59,27-29-28,52-59-57,26-28-27,10-09-06,36-40-36
25,51-59-53,27-23-28,51-56-60,25-30-29,51-58-59,27-28-28,57-58-58,26-30-27,10-08-06,36-35-36,05-10-05,35-39-34
26,57-58-52,26-24-27,51-55-59,27-27-28,57-55-58,26-25-27,52-57-57,36-37-36,05-07-05,35-36-35,09-07-04,35-38-34
27,52-57-51,34-31-36,57-54-58,26-28-27,52-56-57,34-34-36,10-06-06,35-38-35,09-06-04,35-33-34,09-08-03,35-37-33
28,10-06-01,35-32-35,52-53-57,34-35-36,10-03-06,35-33-35,06-05-05,35-35-34,09-05-03,35-34-33,01-05-02,31-35-32
29,05-05-09,,10-02-06,35-36-35,05-04-05,35-32-34,09-04-04,35-36-33,01-04-02,31-31-32,10-06-01,36-35-31
30,09-04-08,,05-01-05,35-33-34,09-01-04,35-31-33,09-03-03,31-33-32,10-03-01,36-32-31,08-03-10,34-34-40
31,09-03-07,,09-10-04,,09-02-03,,01-02-02,36-34-31,,34-39-40,,39-33-39
