日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,27-29-30,53-54-57,27-22-29,53-60-58,23-23-28,52-52-57,28-21-27,60-52-56,21-24-25,51-53-55,25-29-24,51-53-54
2,23-28-27,52-53-58,23-29-28,52-59-57,28-24-27,60-59-56,26-30-26,51-51-55,25-21-24,51-52-54,25-30-23,51-54-53
3,28-27-28,60-52-55,28-30-27,60-58-56,26-21-26,51-60-55,21-29-25,51-60-54,25-22-23,51-51-53,27-27-22,57-51-52
4,26-26-25,51-51-56,26-27-26,51-57-55,21-22-25,51-57-54,25-28-24,51-59-53,27-29-22,57-60-52,26-28-21,52-52-51
5,21-25-26,59-59-53,21-28-25,59-56-53,29-29-23,51-58-53,25-27-23,57-58-52,26-30-21,52-59-51,34-35-40,10-09-10
6,29-24-29,52-60-54,29-25-23,52-55-54,26-30-24,60-55-51,27-26-22,52-57-51,34-37-40,10-08-10,35-36-39,05-10-09
7,26-23-30,60-57-51,26-26-24,60-54-51,24-27-21,58-56-52,28-25-22,10-06-10,35-38-39,05-07-09,33-33-37,03-07-07
8,24-22-27,58-58-52,24-23-21,58-53-52,28-28-22,09-03-09,33-34-39,09-06-10,33-35-37,03-06-07,36-34-38,10-08-08
9,28-21-28,09-05-09,28-24-22,09-02-09,33-35-39,09-04-10,33-33-40,03-03-07,36-36-38,10-05-08,34-31-35,08-05-05
10,33-40-35,09-06-10,33-31-39,09-01-10,33-36-40,03-01-07,33-32-37,10-04-08,34-33-35,08-04-05,32-32-36,02-06-06
11,33-39-36,03-03-07,32-32-40,03-10-07,33-33-37,10-02-08,36-31-38,08-01-05,32-34-36,02-03-06,33-39-33,07-03-03
12,33-38-33,10-04-08,33-39-37,10-09-08,36-34-38,08-09-05,34-40-35,02-02-06,33-31-33,07-02-03,33-40-34,07-04-04
13,36-37-34,08-09-05,36-40-38,08-08-05,34-33-35,02-10-06,32-39-36,07-09-03,33-32-34,07-01-04,37-37-31,07-01-01
14,34-36-37,04-10-06,34-37-35,04-07-06,38-34-36,07-07-03,33-38-33,07-10-04,37-39-31,07-10-01,34-38-32,10-02-02
15,38-35-38,07-07-03,38-38-36,07-04-03,33-31-33,07-08-04,33-37-34,07-07-01,34-40-32,09-09-02,42-41-49,18-19-19
16,33-32-35,05-08-03,33-35-33,05-03-03,31-32-33,01-05-01,35-36-31,10-02-02,42-47-49,18-18-19,48-42-50,12-20-20
17,31-31-36,01-05-02,31-35-33,01-02-02,35-39-32,09-07-01,34-33-32,18-19-19,48-48-50,12-17-20,41-49-47,18-17-17
18,35-40-33,09-06-01,35-34-32,09-08-01,33-40-31,14-16-20,50-42-50,12-20-20,41-45-47,17-12-17,49-50-47,15-17-17
19,33-37-34,15-13-20,33-33-31,15-15-20,45-47-50,12-15-19,48-41-49,18-17-18,49-45-47,15-11-17,45-47-46,19-16-16
20,45-46-41,20-12-19,45-42-50,20-16-19,44-44-49,18-14-18,44-44-48,15-18-17,45-44-46,19-20-16,43-48-45,17-15-15
21,44-45-50,18-19-18,44-41-49,18-13-18,44-41-48,13-13-17,43-43-47,19-15-16,43-43-45,17-12-15,49-45-44,19-14-14
22,44-44-47,13-20-17,44-50-48,13-14-17,43-42-47,17-12-16,43-42-46,17-16-15,49-42-44,19-19-14,44-44-43,18-13-13
23,43-43-48,17-17-16,43-49-47,17-11-16,43-49-46,17-11-15,43-41-45,19-11-14,44-41-43,18-20-13,42-41-42,18-12-12
24,43-42-45,17-18-15,43-48-46,17-12-15,43-50-45,19-20-14,49-50-44,18-12-13,42-50-42,18-17-12,47-42-41,17-11-11
25,43-41-46,19-15-14,43-47-45,19-19-14,49-47-44,18-19-13,44-49-43,18-19-12,47-49-41,17-18-11,51-59-60,27-30-30
26,49-50-43,18-16-13,49-46-44,18-20-13,44-48-43,18-18-12,42-48-42,17-20-11,51-58-60,27-25-30,51-60-59,27-29-29
27,44-49-44,16-13-12,44-45-43,16-17-12,42-45-42,17-15-11,47-47-41,27-27-30,51-57-59,27-26-29,53-57-58,23-28-28
28,42-48-41,17-14-11,42-44-42,17-18-11,47-46-41,27-24-30,51-56-60,27-28-29,53-56-58,23-23-28,52-58-57,28-27-27
29,47-47-42,27-21-30,47-43-41,27-25-30,51-55-60,27-23-29,51-55-59,23-26-28,52-55-57,28-24-27,60-55-56,25-26-26
30,51-56-59,,51-52-60,27-26-29,51-53-59,23-22-28,53-54-58,28-25-27,60-54-56,26-21-26,51-56-55,21-25-25
31,51-55-60,,51-51-59,,53-54-58,,52-53-57,26-23-26,,21-22-25,,25-24-24
