日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,26-26-25,51-51-56,26-27-26,51-57-55,21-22-25,51-57-54,25-28-24,51-59-53,27-29-22,57-60-52,26-28-21,52-52-51
2,21-25-26,51-60-53,21-28-25,51-56-54,25-29-24,51-58-53,25-27-23,57-58-52,26-30-21,52-59-51,34-35-40,10-09-10
3,25-24-23,51-59-54,25-25-24,51-55-53,25-30-23,57-55-52,27-26-22,52-57-51,34-37-40,10-08-10,35-36-39,05-10-09
4,25-23-24,57-58-51,26-26-23,57-54-52,27-27-22,52-56-51,26-25-21,10-06-10,35-38-39,05-07-09,35-33-38,09-07-08
5,27-22-21,58-58-52,24-23-21,58-53-52,28-28-22,10-03-10,34-34-40,05-05-09,35-35-38,09-06-08,35-34-37,09-08-07
6,28-21-28,09-05-09,28-24-22,09-02-09,33-35-39,09-04-10,35-33-39,09-04-08,35-36-37,09-05-07,31-31-36,01-05-06
7,33-40-35,09-06-10,33-31-39,09-01-10,33-36-40,03-01-07,33-32-37,10-04-08,31-33-36,01-04-06,32-32-36,02-06-06
8,33-39-36,03-03-07,33-32-40,03-10-07,33-33-37,10-02-08,36-31-38,08-01-05,32-34-36,02-03-06,33-39-33,07-03-03
9,33-38-33,10-04-08,33-39-37,10-09-08,36-34-38,08-09-05,34-40-35,02-02-06,33-31-33,07-02-03,33-40-34,07-04-04
10,36-37-34,08-01-05,36-40-38,08-08-05,34-31-35,02-10-06,32-39-36,07-09-03,33-32-34,07-01-04,37-37-31,07-01-01
11,34-36-31,02-02-06,34-37-35,02-07-06,32-32-36,07-07-03,33-38-33,07-10-04,37-39-31,07-10-01,34-38-32,10-02-02
12,32-35-32,07-09-03,32-38-36,07-06-03,33-39-33,07-08-04,33-37-34,07-07-01,34-40-32,10-09-02,42-45-49,18-19-19
13,33-34-39,07-08-04,33-35-33,07-05-04,33-32-34,07-05-01,37-36-31,10-08-02,42-47-49,18-18-19,46-46-50,16-20-20
14,33-33-36,01-05-01,33-36-34,01-04-01,35-39-31,10-06-02,34-35-32,18-15-19,46-48-50,16-17-20,41-43-47,18-17-17
15,35-32-33,02-06-10,35-33-31,10-01-02,34-40-32,18-13-19,42-44-49,12-20-20,41-45-47,17-16-17,41-50-48,17-18-18
16,33-39-34,14-13-20,33-33-31,14-20-20,50-47-50,12-14-20,48-43-50,18-17-17,41-46-48,17-15-18,45-47-45,19-15-15
17,50-48-41,12-14-19,50-42-50,12-19-19,48-48-49,18-14-18,41-50-47,15-18-18,45-43-45,19-14-15,44-48-46,18-16-16
18,48-47-42,18-11-18,48-41-49,18-13-18,44-45-48,15-13-17,49-49-47,19-15-16,44-44-46,18-19-16,48-45-44,13-14-14
19,44-44-49,13-12-17,44-50-48,13-14-17,43-46-47,19-12-16,45-48-46,17-16-15,48-42-44,14-18-14,46-46-43,12-13-13
20,43-43-50,17-17-16,43-49-47,17-11-16,43-49-46,17-11-15,43-41-45,19-13-14,46-41-43,12-17-13,42-43-42,18-12-12
21,43-42-45,17-18-15,43-48-46,17-12-15,43-50-45,19-20-14,49-50-44,12-14-13,42-50-42,18-17-12,47-44-41,17-11-11
22,43-41-46,19-15-14,43-47-45,19-19-14,49-47-44,18-19-13,44-49-43,18-19-12,47-49-41,17-18-11,51-59-60,27-30-30
23,49-50-43,18-16-13,49-46-44,18-20-13,44-48-43,18-18-12,42-48-42,17-20-11,50-58-60,27-25-30,51-60-59,27-29-29
24,44-49-44,18-13-12,44-45-43,18-17-12,42-45-42,17-17-11,47-47-41,27-27-30,51-57-59,27-26-29,53-57-58,23-28-28
25,42-48-41,17-14-11,42-44-42,17-18-11,47-46-41,27-26-30,51-56-60,27-28-29,53-56-58,23-23-28,52-58-57,28-27-27
26,47-47-42,27-21-30,47-43-41,27-25-30,51-53-60,27-25-29,51-55-59,23-25-28,52-55-57,28-24-27,52-55-56,25-26-26
27,51-56-59,27-22-29,51-52-60,27-26-29,51-54-59,23-22-28,53-54-58,28-26-27,52-54-56,26-21-26,51-56-55,21-25-25
28,51-55-60,23-29-28,51-51-59,23-23-28,53-51-58,28-21-27,52-53-57,26-23-26,51-53-55,21-22-25,51-53-54,25-24-24
29,53-54-57,28-30-27,53-60-58,28-24-27,52-52-57,26-30-26,59-52-56,21-24-25,51-52-54,25-29-24,51-54-53,25-23-23
30,52-53-58,,52-59-57,26-21-26,60-59-56,21-29-25,51-51-55,25-21-24,51-51-53,25-30-23,57-51-52,27-22-22
31,60-52-55,,60-58-56,,51-60-55,,51-60-54,25-22-23,,27-27-22,,26-21-21
