日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,43-46-42,17-11-11,43-50-50,17-18-17,43-41-47,17-20-18,43-49-48,19-20-15,44-42-46,18-11-16,42-47-43,16-11-13
2,43-45-41,19-20-20,43-47-47,17-17-18,43-42-48,19-17-15,49-48-45,18-19-16,42-49-43,16-20-13,47-48-44,17-12-14
3,49-44-50,18-19-19,43-48-48,19-16-15,49-49-45,18-18-16,44-47-46,16-18-13,47-50-44,17-19-14,51-55-51,27-29-21
4,44-43-49,15-17-17,49-45-45,18-15-16,44-50-46,16-15-13,42-46-43,17-17-14,51-57-51,27-28-21,51-56-52,27-30-22
5,41-42-42,15-18-18,49-50-50,15-14-17,42-47-43,17-16-14,47-45-44,27-26-21,51-58-52,27-27-22,53-53-59,23-27-29
6,42-41-41,26-25-25,41-43-47,15-13-18,41-48-48,25-23-25,51-54-51,27-25-22,53-55-59,23-26-29,52-54-60,28-28-30
7,55-60-60,28-26-26,41-44-48,25-22-25,56-55-55,28-24-26,52-53-56,23-24-29,52-56-60,28-25-30,60-51-57,25-25-21
8,52-59-59,26-23-23,55-51-55,28-21-26,52-56-56,26-21-23,60-52-53,23-24-24,59-53-51,25-24-21,59-52-52,25-26-22
9,60-58-58,23-24-24,52-52-56,26-30-23,60-53-53,24-22-24,54-51-54,25-21-21,59-54-52,25-23-22,60-59-59,29-23-29
10,54-57-57,25-21-21,60-59-53,24-29-24,53-54-54,25-29-21,59-60-51,25-22-22,59-51-59,29-22-29,52-60-60,26-24-30
11,59-56-56,25-22-22,54-60-54,25-28-21,59-51-51,25-30-22,59-59-52,30-29-29,52-52-60,26-21-30,60-57-57,24-21-27
12,59-55-55,28-27-27,59-57-51,25-27-22,59-52-52,29-27-29,59-58-59,26-30-30,60-59-57,24-30-27,57-58-58,28-22-28
13,53-54-54,26-28-28,59-58-52,27-26-27,60-59-59,26-28-30,52-57-60,24-27-27,58-60-58,28-29-28,09-05-05,33-39-35
14,52-53-53,22-25-25,53-55-57,26-25-28,52-52-58,24-25-25,60-56-57,27-28-28,09-07-05,33-38-35,09-06-06,33-40-36
15,56-60-60,30-26-26,52-56-58,22-22-25,60-59-55,30-26-26,54-55-56,33-35-35,09-08-06,33-37-36,04-03-03,37-37-31
16,54-59-59,36-33-33,56-53-55,30-21-26,54-60-56,34-33-33,09-04-03,33-40-34,01-05-01,37-36-31,10-10-02,36-38-32
17,10-08-08,35-34-34,54-53-56,36-40-33,10-07-03,31-35-34,07-01-04,37-37-31,10-06-02,36-35-32,08-07-09,40-35-39
18,06-05-05,37-31-31,10-02-03,35-36-34,07-08-04,37-34-31,01-10-01,36-38-32,06-03-09,40-40-39,04-08-10,38-35-40
19,01-04-04,35-40-40,05-01-04,37-33-31,01-05-01,35-35-32,09-09-02,40-35-39,04-03-10,38-39-40,10-05-07,34-34-37
20,09-03-03,31-37-37,01-10-01,35-34-40,09-06-02,31-32-39,01-02-09,38-36-40,10-02-07,34-38-37,05-06-08,39-33-38
21,01-02-02,36-38-38,09-09-10,31-31-37,01-09-07,36-31-38,04-01-10,34-33-37,09-01-08,39-40-38,01-03-05,35-32-35
22,10-01-01,34-35-35,01-08-07,36-32-38,10-10-08,34-40-35,10-10-05,39-34-38,01-10-05,35-37-35,09-04-06,33-31-34
23,09-10-10,39-36-36,10-07-08,34-39-35,10-07-05,39-39-36,09-09-06,33-39-33,09-09-04,33-38-34,15-19-11,45-50-41
24,10-09-09,34-33-33,10-06-05,39-40-36,09-08-06,33-38-33,09-08-03,33-40-34,15-18-11,45-45-41,20-20-12,44-49-42
25,09-08-08,33-34-34,09-05-06,33-37-33,09-05-03,33-37-34,09-07-04,45-47-41,20-17-12,44-46-42,18-17-19,44-48-49
26,09-07-07,45-41-41,09-04-03,33-38-34,09-06-04,45-46-41,15-16-11,44-48-42,18-16-19,44-43-49,13-18-20,43-47-50
27,15-16-16,44-42-42,09-03-04,45-45-41,15-13-11,44-43-42,20-15-12,44-45-49,13-15-20,43-44-50,17-15-17,43-46-47
28,20-15-15,42-49-49,15-12-11,44-46-42,20-14-12,42-42-49,18-14-19,43-46-50,17-14-17,43-41-47,17-16-18,43-45-48
29,18-14-14,,20-11-12,42-43-49,18-11-19,43-41-50,13-13-20,43-43-47,17-13-18,43-42-48,19-13-15,49-44-45
30,14-13-13,,18-20-19,43-44-50,13-12-20,43-50-47,17-12-17,43-44-48,19-12-15,49-49-45,18-14-16,44-43-46
31,17-12-12,,13-19-20,,17-19-17,,17-11-18,49-41-45,,44-50-46,,42-42-43
