日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,43-45-42,19-20-19,43-47-49,17-17-20,43-42-50,19-17-17,49-48-47,18-19-18,42-49-45,16-20-15,47-48-46,17-12-16
2,49-44-49,18-19-20,43-48-50,19-16-17,49-49-47,17-18-18,44-47-48,16-18-15,47-50-46,17-19-16,51-55-53,27-29-23
3,44-43-50,16-18-17,49-45-47,18-15-18,44-50-48,16-15-15,42-46-45,17-17-16,51-57-53,27-28-23,51-56-54,27-30-24
4,42-42-47,15-18-18,49-50-50,16-14-15,42-47-45,17-16-16,47-45-46,27-26-23,51-58-54,27-27-24,53-53-51,23-27-21
5,47-41-48,26-25-25,41-47-47,15-13-18,41-43-48,27-23-23,51-54-53,27-25-24,53-55-51,23-26-21,52-54-52,28-28-22
6,55-60-52,28-26-26,41-44-48,25-22-25,55-52-55,28-24-26,51-53-54,23-24-21,52-56-52,28-25-22,60-51-59,26-25-29
7,52-59-51,26-23-23,55-56-55,28-21-26,52-56-56,26-21-23,60-52-53,28-21-24,60-53-59,26-24-29,51-52-60,25-26-22
8,60-58-60,23-24-24,52-52-56,26-30-23,60-53-53,24-22-24,54-51-54,25-21-21,59-54-52,25-24-22,60-59-59,29-23-29
9,54-57-59,25-21-21,60-59-53,24-29-24,53-54-54,25-29-21,59-60-51,25-22-22,59-51-59,29-22-29,52-60-60,26-24-30
10,59-56-58,25-22-22,54-60-54,25-28-21,59-51-51,25-30-22,59-59-52,30-29-29,52-52-60,26-21-30,60-57-57,24-21-27
11,59-55-57,30-29-29,59-57-51,25-27-22,59-52-52,29-27-29,59-58-59,26-30-30,60-59-57,24-30-27,57-58-58,28-22-28
12,57-54-56,26-21-22,59-58-52,29-26-29,60-59-59,26-28-30,52-57-60,24-27-27,58-60-58,28-29-28,09-05-05,33-39-35
13,52-53-55,24-25-29,59-55-59,26-25-22,52-60-60,24-25-27,60-56-57,27-28-28,09-07-05,33-38-35,09-06-06,33-40-36
14,60-52-54,30-26-30,52-56-52,24-24-29,60-59-59,30-26-30,58-55-58,33-35-35,09-08-06,33-37-36,04-03-03,33-37-33
15,54-51-53,36-33-37,60-53-59,30-21-30,54-60-60,33-33-37,09-04-07,33-36-36,03-05-03,33-36-33,10-04-04,36-38-36
16,09-08-10,31-34-38,54-54-60,36-40-37,09-07-07,31-34-38,09-03-08,37-37-35,10-06-06,36-35-34,08-07-03,34-35-33
17,07-07-09,37-31-35,10-02-07,31-39-38,07-08-08,37-34-35,01-10-05,36-38-36,08-03-03,34-34-33,04-08-04,38-36-34
18,01-06-08,35-32-36,07-01-08,37-33-35,01-05-05,35-33-36,09-09-06,40-35-33,03-04-04,38-33-34,07-05-01,34-34-31
19,09-03-04,31-37-39,01-10-05,35-34-36,09-06-06,31-32-33,06-08-03,38-36-34,10-02-01,33-38-31,05-06-02,31-33-32
20,01-02-01,36-38-40,09-09-06,31-31-39,01-03-03,38-31-34,04-01-04,34-33-31,05-01-02,31-37-32,01-03-09,35-32-39
21,10-01-02,34-35-37,01-08-09,36-32-40,09-10-10,34-40-37,10-10-01,39-34-32,01-10-09,35-36-39,09-04-10,33-31-40
22,10-10-09,39-36-38,10-07-10,34-39-37,10-07-07,39-39-38,09-09-08,35-31-39,09-09-10,33-38-40,15-11-17,45-50-43
23,09-09-10,33-33-35,10-06-07,39-40-38,09-08-08,33-38-35,09-08-05,33-40-36,15-18-13,45-45-47,20-20-14,44-49-44
24,09-08-07,33-34-36,09-05-08,33-37-35,09-05-05,33-37-36,09-07-06,45-47-43,20-17-14,44-46-44,18-17-11,44-48-41
25,09-07-08,45-41-43,09-04-05,33-38-36,09-06-06,45-46-43,15-16-13,44-48-44,18-16-11,44-43-41,13-18-12,43-47-42
26,15-17-18,44-42-44,09-03-06,45-45-43,15-13-13,44-45-44,20-15-14,44-45-41,13-15-12,43-44-42,17-15-19,43-46-49
27,20-15-16,42-49-41,15-12-13,44-46-44,20-14-14,42-42-41,18-14-11,43-46-42,17-14-19,43-41-49,17-16-20,43-45-50
28,18-14-13,43-50-42,20-11-14,42-43-41,18-11-11,43-41-42,13-13-12,43-43-49,17-13-20,43-42-50,19-13-17,49-44-47
29,13-13-14,,18-20-11,43-44-42,13-12-12,43-50-49,17-12-19,43-44-50,19-12-17,49-49-47,18-14-18,44-43-48
30,17-12-11,,13-19-12,43-41-49,17-19-19,43-50-42,17-11-20,49-41-47,18-11-18,44-50-48,16-11-15,42-42-45
31,17-11-12,,17-18-19,,17-20-20,,19-20-17,44-42-48,,42-47-45,,47-41-46
